tract,GEOID10,link,HC01_VC05,HC01_VC113,HC01_VC115,HC01_VC117,HC01_VC121,HC01_VC28,HC01_VC36,HC01_VC41,HC01_VC42,HC01_VC43,HC01_VC44,HC01_VC50,HC01_VC51,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC59,HC01_VC60,HC01_VC61,HC01_VC62,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC99,HC03_VC05,HC03_VC13,HC03_VC156,HC03_VC28,HC03_VC41,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC51,HC03_VC52,HC03_VC53,HC03_VC54,HC03_VC55,HC03_VC56,HC03_VC57,HC03_VC58,HC03_VC59,HC03_VC60,HC03_VC61,HC03_VC62,HC03_VC67,HC03_VC68,HC03_VC69,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80,HC03_VC81,HC03_VC82,HC03_VC83,HC03_VC84,HD01_S001,HD01_S020,HD01_S026,HD01_S045,HD01_S051,HD01_S070,HD01_S151,HD01_S169,HD01_S170,HD01_S171,HD01_S180,HD01_S181,HD01_S184,HD02_S026,HD02_S051,HD02_S151,HD02_S170,HD02_S171,HD02_S180,HD02_S181,HD02_S184
Census Tract 165,6075016500,http://en.wikipedia.org/wiki/Panhandle_(San_Francisco),3460.0,133847.0,52330.0,1419.0,49927.0,3209.0,28.8,2101.0,400.0,452.0,157.0,0.0,107.0,174.0,16.0,182.0,87.0,152.0,304.0,928.0,543.0,324.0,254.0,138.0,2723.0,294.0,192.0,84125.0,106450.0,114574.0,65.0,79.1,7.3,2.6,3209.0,65.5,12.5,14.1,4.9,3.1,0.0,3.3,5.4,0.5,5.7,2.7,4.7,9.5,28.9,16.9,10.1,7.9,4.3,84.9,9.2,6.0,4.9,6.0,9.5,4.1,9.6,13.6,11.6,14.3,10.2,16.3,5083.0,34.7,2387.0,35.9,2696.0,33.3,740.0,2483.0,2344.0,139.0,2344.0,596.0,1748.0,47.0,53.0,31.6,94.4,5.6,100.0,25.4,74.6
Census Tract 164,6075016400,http://en.wikipedia.org/wiki/Panhandle_(San_Francisco),2640.0,164947.0,52758.0,1429.0,52409.0,2414.0,30.1,1590.0,241.0,514.0,109.0,0.0,40.0,222.0,37.0,173.0,96.0,158.0,200.0,648.0,537.0,178.0,176.0,54.0,2167.0,294.0,58.0,72608.0,99753.0,105448.0,49.0,77.6,4.6,0.0,2414.0,63.1,9.6,20.4,4.3,2.6,0.0,1.6,8.8,1.5,6.9,3.8,6.3,7.9,25.7,21.3,7.1,7.0,2.1,86.0,11.7,2.3,5.4,3.2,6.7,5.6,10.2,23.3,8.0,17.6,8.7,11.4,3778.0,33.4,1997.0,34.1,1781.0,32.6,432.0,1951.0,1811.0,140.0,1811.0,355.0,1456.0,52.9,47.1,23.9,92.8,7.2,100.0,19.6,80.4
Census Tract 163,6075016300,"http://en.wikipedia.org/wiki/Lower_Haight,_San_Francisco,_California",3105.0,111745.0,41478.0,1342.0,36732.0,2583.0,29.4,1502.0,429.0,531.0,35.0,0.0,35.0,118.0,20.0,143.0,219.0,211.0,118.0,493.0,817.0,396.0,96.0,47.0,1946.0,565.0,202.0,71250.0,88404.0,92489.0,90.0,73.9,12.6,7.4,2583.0,55.4,15.8,19.6,1.3,8.0,0.0,1.3,4.3,0.7,5.3,8.1,7.8,4.3,18.2,30.1,14.6,3.5,1.7,71.7,20.8,7.4,7.8,5.8,10.4,5.6,8.9,13.5,15.8,18.4,4.7,9.2,4293.0,33.5,2285.0,34.7,2008.0,32.5,548.0,2185.0,2047.0,138.0,2047.0,354.0,1693.0,53.2,46.8,26.8,93.7,6.3,100.0,17.3,82.7
Census Tract 161,6075016100,"http://en.wikipedia.org/wiki/Alamo_Square,_San_Francisco",1777.0,61200.0,23735.0,1692.0,32996.0,1554.0,25.8,704.0,410.0,450.0,38.0,0.0,58.0,24.0,0.0,128.0,34.0,53.0,217.0,339.0,453.0,112.0,146.0,78.0,1339.0,212.0,91.0,20438.0,41786.0,61124.0,142.0,43.8,7.6,3.6,1554.0,42.9,25.0,27.4,2.3,2.4,0.0,3.5,1.5,0.0,7.8,2.1,3.2,13.2,20.6,27.6,6.8,8.9,4.8,81.5,12.9,5.5,11.4,26.2,21.1,6.3,7.2,12.6,4.0,6.1,1.3,3.8,5366.0,43.1,2371.0,38.8,2995.0,47.1,1089.0,2873.0,2756.0,117.0,2756.0,196.0,2560.0,44.2,55.8,39.5,95.9,4.1,100.0,7.1,92.9
Census Tract 160,6075016000,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Cathedral_Hill,1540.0,108988.0,50542.0,1218.0,52157.0,1382.0,32.7,927.0,114.0,339.0,64.0,0.0,101.0,34.0,18.0,192.0,61.0,143.0,151.0,369.0,162.0,155.0,8.0,82.0,1185.0,180.0,111.0,61675.0,73146.0,79583.0,0.0,69.5,4.2,7.6,1382.0,62.8,7.7,23.0,4.3,2.2,0.0,6.8,2.3,1.2,13.0,4.1,9.7,10.2,25.0,11.0,10.5,0.5,5.6,80.3,12.2,7.5,5.3,4.7,8.9,4.4,14.8,22.0,11.8,21.8,3.3,3.1,2465.0,44.3,1343.0,44.0,1122.0,46.0,365.0,1847.0,1633.0,214.0,1633.0,400.0,1233.0,54.5,45.5,22.4,88.4,11.6,100.0,24.5,75.5
Census Tract 159,6075015900,"http://en.wikipedia.org/wiki/Lower_Pacific_Heights,_San_Francisco,_California",2181.0,71626.0,34914.0,1331.0,31416.0,2066.0,29.0,892.0,383.0,548.0,21.0,0.0,21.0,263.0,35.0,231.0,87.0,32.0,170.0,341.0,301.0,315.0,150.0,120.0,1707.0,287.0,72.0,39453.0,64850.0,74779.0,33.0,57.8,5.3,8.9,2066.0,43.2,18.5,26.5,1.0,10.7,0.0,1.0,12.7,1.7,11.2,4.2,1.5,8.2,16.5,14.6,15.2,7.3,5.8,82.6,13.9,3.5,20.9,2.8,10.3,11.3,10.4,12.5,8.4,12.3,5.9,5.3,4350.0,37.4,2089.0,35.8,2261.0,39.6,805.0,2413.0,2285.0,128.0,2285.0,556.0,1729.0,48.0,52.0,35.2,94.7,5.3,100.0,24.3,75.7
Census Tract 157,6075015700,http://en.wikipedia.org/wiki/Panhandle_(San_Francisco),4427.0,148129.0,38746.0,1487.0,35619.0,3923.0,25.3,2102.0,407.0,1367.0,189.0,13.0,63.0,193.0,106.0,396.0,113.0,86.0,370.0,841.0,1287.0,258.0,330.0,127.0,3351.0,513.0,319.0,90035.0,114930.0,121494.0,44.0,62.3,5.5,0.9,3923.0,50.3,9.7,32.7,4.5,2.8,0.3,1.5,4.6,2.5,9.5,2.7,2.1,8.8,20.1,30.8,6.2,7.9,3.0,80.1,12.3,7.6,10.0,4.5,2.1,0.8,7.2,8.2,21.8,16.9,12.6,16.0,7832.0,27.6,3523.0,29.9,4309.0,25.2,876.0,2754.0,2575.0,179.0,2575.0,840.0,1735.0,45.0,55.0,34.0,93.5,6.5,100.0,32.6,67.4
Census Tract 156,6075015600,"http://en.wikipedia.org/wiki/Lone_Mountain,_San_Francisco,_California",1978.0,126581.0,44161.0,746.0,43993.0,1768.0,28.7,1206.0,197.0,363.0,21.0,0.0,18.0,27.0,57.0,150.0,58.0,78.0,247.0,357.0,633.0,191.0,23.0,50.0,1495.0,236.0,133.0,75236.0,95992.0,97197.0,39.0,81.3,4.5,2.3,1768.0,63.8,10.4,19.2,1.1,5.4,0.0,1.0,1.4,3.0,7.9,3.1,4.1,13.1,18.9,33.5,10.1,1.2,2.6,79.1,12.5,7.0,5.9,2.9,7.3,2.8,10.1,20.6,11.7,20.8,7.2,10.5,2728.0,34.7,1315.0,35.3,1413.0,34.1,499.0,1400.0,1272.0,128.0,1272.0,425.0,847.0,48.2,51.8,39.2,90.9,9.1,100.0,33.4,66.6
Census Tract 155,6075015500,"http://en.wikipedia.org/wiki/Anza_Vista,_San_Francisco",1627.0,70757.0,40384.0,1596.0,41854.0,1473.0,27.2,822.0,222.0,258.0,119.0,0.0,3.0,39.0,0.0,106.0,44.0,335.0,103.0,315.0,258.0,176.0,97.0,19.0,1327.0,107.0,61.0,48058.0,68201.0,75570.0,105.0,42.6,8.1,1.8,1473.0,55.0,14.8,17.3,8.0,4.9,0.0,0.2,2.6,0.0,7.1,2.9,22.4,6.9,21.1,17.3,11.8,6.5,1.3,88.8,7.2,4.1,13.7,11.3,9.5,5.2,12.3,12.0,15.4,13.0,2.8,4.8,3622.0,45.7,1523.0,39.8,2099.0,53.3,533.0,2441.0,2176.0,265.0,2176.0,264.0,1912.0,42.0,58.0,24.5,89.1,10.9,100.0,12.1,87.9
Census Tract 154,6075015400,"http://en.wikipedia.org/wiki/Lone_Mountain,_San_Francisco,_California",3516.0,197622.0,66984.0,1993.0,68135.0,3182.0,28.2,2108.0,230.0,715.0,147.0,0.0,100.0,193.0,69.0,210.0,78.0,237.0,333.0,713.0,858.0,204.0,224.0,90.0,2422.0,488.0,381.0,82313.0,122027.0,126424.0,32.0,70.6,5.9,1.5,3182.0,63.7,7.0,21.6,4.4,3.3,0.0,3.0,5.8,2.1,6.3,2.4,7.2,10.1,21.5,25.9,6.2,6.8,2.7,73.2,14.7,11.5,3.2,3.0,8.9,6.0,11.0,15.0,11.1,15.2,14.1,12.4,5621.0,37.7,2619.0,37.6,3002.0,37.8,1107.0,3088.0,2839.0,249.0,2839.0,853.0,1986.0,46.6,53.4,39.0,91.9,8.1,100.0,30.0,70.0
