,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"135 4th St #4000, San Francisco, CA 94103, USA",Ei40MDAwLCAxMzUgNHRoIFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEwMywgVVNBIiAaHgoWChQKEglTEbKgh4CFgBFwOGfisZpY6hIENDAwMA,"135 4th st ste 4000, San Francisco, CA, 94103",37.7843318,-122.4033663,1,94103,OK,subpremise
1,ROOFTOP,"139 8th St, San Francisco, CA 94103, USA",ChIJIw6gLYOAhYARuBi_8fCwIAk,"139 8th st, San Francisco, CA, 94103",37.7771722,-122.412601,1,94103,OK,street_address
2,ROOFTOP,"645 5th St, San Francisco, CA 94107, USA",ChIJw2IJsdV_j4AR1f14H4JNWHM,"645 5th st, San Francisco, CA, 94107",37.7768403,-122.397702,1,94107,OK,premise
3,ROOFTOP,"127 Eddy St, San Francisco, CA 94102, USA",ChIJVzmsg4WAhYARZRBzz4VezSE,"127 eddy st, San Francisco, CA, 94102",37.7841852,-122.4097681,1,94102,OK,street_address
4,ROOFTOP,"665 Market St, San Francisco, CA 94105, USA",ChIJHcpqPoiAhYARY7MpTGmIUUY,"665 market st, San Francisco, CA, 94105",37.7880302,-122.4026327,1,94105,OK,street_address
5,ROOFTOP,"3228 Sacramento St, San Francisco, CA 94115, USA",ChIJOzUoscyAhYARBFtGKr7EiA4,"3228 sacramento st, San Francisco, CA, 94115",37.7885505,-122.4462151,1,94115,OK,premise
6,ROOFTOP,"50 Post St #65a, San Francisco, CA 94104, USA",Ei02NWEsIDUwIFBvc3QgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTA0LCBVU0EiHxodChYKFAoSCUOAoUqIgIWAERA-0x1JgexqEgM2NWE,"50 post st unit 65a, San Francisco, CA, 94104",37.7891638,-122.4029793,1,94104,OK,subpremise
7,ROOFTOP,"167 11th St, San Francisco, CA 94103, USA",ChIJh-YVm52AhYAR90qwTrNzTdw,"167 11th street, San Francisco, CA, 94103",37.7737561,-122.4160583,1,94103,OK,street_address
8,ROOFTOP,"393 Bay St, San Francisco, CA 94133, USA",ChIJS9dx0OSAhYAR7vaQtUsp7q0,"393 bay st, San Francisco, CA, 94133",37.805472,-122.4134109,1,94133,OK,premise
9,RANGE_INTERPOLATED,"1324 Fitzgerald Ave, San Francisco, CA 94124, USA",EjExMzI0IEZpdHpnZXJhbGQgQXZlLCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEyNCwgVVNBIhsSGQoUChIJJ1dfdSJ_j4ARf2Zf6rBCwvMQrAo,"1324 fitzgerald ave c, San Francisco, CA, 94124",37.7225389,-122.3937675,1,94124,OK,street_address
10,GEOMETRIC_CENTER,"Pier 33, San Francisco, CA 94133, USA",ChIJPXxjtPmAhYARTAAITYCpT4Y,"pier 33 embarcadero, San Francisco, CA, 94111",37.8066566,-122.4044573,1,94133,OK,route
11,ROOFTOP,"2241 Judah St, San Francisco, CA 94122, USA",ChIJnb6yqnCHhYAR4i4y7t0S8F0,"2241 judah st, San Francisco, CA, 94122",37.7611228,-122.4863271,1,94122,OK,premise
12,ROOFTOP,"529 Stevenson St #100, San Francisco, CA 94103, USA",EjMxMDAsIDUyOSBTdGV2ZW5zb24gU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTAzLCBVU0EiHxodChYKFAoSCVUGVOWEgIWAEX9B3tUBg8CPEgMxMDA,"529 stevenson st unit 100, San Francisco, CA, 94103",37.7811359,-122.410358,1,94103,OK,subpremise
