business_name,lic_code,street_address,business_start_date,business_end_date,Lifespan,isClosed,full_address,business_id,name,district,MA,year,latitude,longitude,tract,GEOID10,link,HC01_VC05,HC01_VC113,HC01_VC115,HC01_VC117,HC01_VC121,HC01_VC28,HC01_VC36,HC01_VC41,HC01_VC42,HC01_VC43,HC01_VC44,HC01_VC50,HC01_VC51,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC59,HC01_VC60,HC01_VC61,HC01_VC62,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC99,HC03_VC05,HC03_VC13,HC03_VC156,HC03_VC28,HC03_VC41,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC51,HC03_VC52,HC03_VC53,HC03_VC54,HC03_VC55,HC03_VC56,HC03_VC57,HC03_VC58,HC03_VC59,HC03_VC60,HC03_VC61,HC03_VC62,HC03_VC67,HC03_VC68,HC03_VC69,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80,HC03_VC81,HC03_VC82,HC03_VC83,HC03_VC84,HD01_S001,HD01_S020,HD01_S026,HD01_S045,HD01_S051,HD01_S070,HD01_S151,HD01_S169,HD01_S170,HD01_S171,HD01_S180,HD01_S181,HD01_S184,HD02_S026,HD02_S051,HD02_S151,HD02_S170,HD02_S171,HD02_S180,HD02_S181,HD02_S184,Opening_year,Closing_year,Opening_month,Closing_month
yokai express inc,,135 4th st ste 4000,2017-12-28,,222.0,no,"135 4th st ste 4000, San Francisco, CA, 94103",94310,yokai express,South of Market,100.0,2018.0,37.7843318,-122.4033663,Census Tract 615,6075061500,http://www.sfgate.com/neighborhoods/sf/soma/,6926.0,216974.0,88242.0,3870.0,78956.0,6533.0,25.5,4703.0,330.0,1298.0,111.0,0.0,153.0,508.0,192.0,477.0,100.0,429.0,1195.0,2355.0,645.0,316.0,106.0,138.0,5652.0,412.0,550.0,112328.0,156870.0,157303.0,62.0,73.9,4.5,3.0,6533.0,71.1,5.0,19.6,1.7,2.6,0.0,2.3,7.7,2.9,7.2,1.5,6.5,18.1,35.6,9.8,4.8,1.6,2.1,85.5,6.2,8.3,4.1,1.6,5.0,4.5,7.6,9.5,10.6,20.7,12.5,24.0,11502.0,35.4,6515.0,36.2,4987.0,34.2,1939.0,8255.0,6785.0,1470.0,6785.0,2527.0,4258.0,56.6,43.4,28.6,82.2,17.8,100.0,37.2,62.8,2017,,12,
sizzling pot king,"Restaurant 1,000 - 2,000 Sqft",139 8th st,2017-12-28,,222.0,no,"139 8th st, San Francisco, CA, 94103",94408,sizzling pot king,South of Market,83.0,2018.0,37.7771722,-122.412601,Census Tract 176.01,6075017601,http://www.sfgate.com/neighborhoods/sf/soma/,3188.0,49387.0,25330.0,2221.0,25938.0,2657.0,25.0,951.0,626.0,894.0,215.0,0.0,139.0,177.0,44.0,319.0,70.0,197.0,247.0,364.0,617.0,641.0,74.0,95.0,2522.0,334.0,128.0,23099.0,46745.0,61388.0,259.0,60.9,5.9,12.7,2657.0,31.9,21.0,30.0,7.2,10.0,0.0,4.7,5.9,1.5,10.7,2.3,6.6,8.3,12.2,20.7,21.5,2.5,3.2,84.5,11.2,4.3,17.8,16.6,18.0,5.9,6.8,10.1,11.3,9.5,1.8,2.3,7630.0,41.5,4723.0,42.8,2907.0,39.0,1029.0,5296.0,4321.0,975.0,4321.0,407.0,3914.0,61.9,38.1,23.8,81.6,18.4,100.0,9.4,90.6,2017,,12,
burma super star restaurant,"Restaurant 1,000 - 2,000 Sqft",309 clement st,2001-03-01,,6368.0,no,"309 clement st, San Francisco, CA, 94118",1977,burma superstar restaurant,Inner Richmond,89.0,2017.0,37.783004,-122.462539,Census Tract 401,6075040100,http://www.sfgate.com/neighborhoods/sf/innerrichmond/,2747.0,121336.0,43829.0,1094.0,36704.0,2490.0,31.0,1221.0,423.0,779.0,61.0,0.0,77.0,110.0,35.0,277.0,48.0,116.0,293.0,481.0,581.0,352.0,141.0,39.0,2178.0,153.0,205.0,56812.0,94505.0,100756.0,98.0,65.8,7.2,14.3,2490.0,47.9,16.6,30.5,2.4,2.6,0.0,3.0,4.3,1.4,10.9,1.9,4.5,11.5,18.9,22.8,13.8,5.5,1.5,85.4,6.0,8.0,3.7,9.5,3.3,11.5,16.1,14.9,10.1,13.7,6.4,10.6,4088.0,38.0,1900.0,37.3,2188.0,38.8,822.0,2022.0,1863.0,159.0,1863.0,512.0,1351.0,46.5,53.5,44.1,92.1,7.9,100.0,27.5,72.5,2001,,3,
foundation cafe,,645 5th st,2017-12-15,,235.0,no,"645 5th st, San Francisco, CA, 94107",94387,foundation cafe,South of Market,85.0,2018.0,37.7768403,-122.397702,Census Tract 180,6075018000,http://www.sfgate.com/neighborhoods/sf/soma/,1915.0,152559.0,47390.0,851.0,53651.0,1711.0,28.5,1037.0,256.0,350.0,43.0,0.0,16.0,128.0,24.0,180.0,45.0,148.0,329.0,377.0,98.0,233.0,65.0,68.0,1436.0,96.0,152.0,111375.0,129611.0,129643.0,0.0,56.0,10.7,13.9,1711.0,60.6,15.0,20.5,2.5,1.5,0.0,0.9,7.5,1.4,10.5,2.6,8.6,19.2,22.0,5.7,13.6,3.8,4.0,83.9,5.6,8.9,4.4,4.8,1.5,8.8,5.9,14.1,6.9,27.0,2.1,24.6,4221.0,36.8,2884.0,38.3,1337.0,33.9,397.0,1595.0,1499.0,96.0,1499.0,598.0,901.0,68.3,31.7,26.5,94.0,6.0,100.0,39.9,60.1,2017,,12,
new york pizza kitchen,,127 eddy st,2016-03-16,2017-03-14,363.0,yes,"127 eddy st, San Francisco, CA, 94102",91028,new york pizza kitchen,Tenderloin,87.0,2018.0,37.7841852,-122.4097681,Census Tract 125.01,6075012501,http://www.sfgate.com/neighborhoods/sf/tenderloin/,1248.0,35943.0,13438.0,1586.0,21397.0,895.0,26.7,193.0,368.0,253.0,62.0,0.0,42.0,0.0,0.0,194.0,32.0,25.0,23.0,47.0,166.0,272.0,90.0,4.0,811.0,50.0,17.0,11513.0,19146.0,26965.0,263.0,40.9,28.3,19.4,895.0,21.6,41.1,28.3,6.9,2.1,0.0,4.7,0.0,0.0,21.7,3.6,2.8,2.6,5.3,18.5,30.4,10.1,0.4,90.6,5.6,1.9,31.2,32.8,11.4,8.7,4.9,8.1,1.5,1.3,0.0,0.0,5335.0,46.6,3499.0,48.4,1836.0,40.1,538.0,2518.0,2205.0,313.0,2205.0,55.0,2150.0,65.6,34.4,24.4,87.6,12.4,100.0,2.5,97.5,2016,2017.0,3,3.0
braised + bread,"Restaurant 1,000 - 2,000 Sqft",50 post st unit 65a,2018-01-02,,217.0,no,"50 post st unit 65a, San Francisco, CA, 94104",94432,braised + bread,Downtown / Union Square,100.0,2018.0,37.7891638,-122.4029793,Census Tract 117,6075011700,http://www.sfgate.com/neighborhoods/sf/unionsquare/,733.0,55747.0,27841.0,737.0,30855.0,685.0,19.1,234.0,180.0,139.0,0.0,0.0,13.0,56.0,0.0,114.0,71.0,47.0,57.0,102.0,126.0,55.0,54.0,0.0,578.0,58.0,59.0,23165.0,41735.0,56874.0,84.0,54.3,5.2,26.6,685.0,33.7,25.9,20.0,0.0,20.4,0.0,1.9,8.1,0.0,16.4,10.2,6.8,8.2,14.7,18.1,7.9,7.8,0.0,83.2,8.3,8.5,18.3,18.8,16.6,17.0,3.4,10.0,1.6,6.5,4.8,2.9,1783.0,43.6,988.0,44.3,795.0,42.4,292.0,1416.0,1012.0,404.0,1012.0,87.0,925.0,55.4,44.6,28.9,71.5,28.5,100.0,8.6,91.4,2018,,1,
joint venture kitchen,"Restaurant 1,000 - 2,000 Sqft",167 11th street,2017-06-26,,407.0,no,"167 11th street, San Francisco, CA, 94103",92980,joint venture kitchen,South of Market,93.0,2018.0,37.7737561,-122.4160583,Census Tract 176.01,6075017601,http://www.sfgate.com/neighborhoods/sf/soma/,3188.0,49387.0,25330.0,2221.0,25938.0,2657.0,25.0,951.0,626.0,894.0,215.0,0.0,139.0,177.0,44.0,319.0,70.0,197.0,247.0,364.0,617.0,641.0,74.0,95.0,2522.0,334.0,128.0,23099.0,46745.0,61388.0,259.0,60.9,5.9,12.7,2657.0,31.9,21.0,30.0,7.2,10.0,0.0,4.7,5.9,1.5,10.7,2.3,6.6,8.3,12.2,20.7,21.5,2.5,3.2,84.5,11.2,4.3,17.8,16.6,18.0,5.9,6.8,10.1,11.3,9.5,1.8,2.3,7630.0,41.5,4723.0,42.8,2907.0,39.0,1029.0,5296.0,4321.0,975.0,4321.0,407.0,3914.0,61.9,38.1,23.8,81.6,18.4,100.0,9.4,90.6,2017,,6,
there sushibar  restaurant,"Restaurant Greater Than 2,000 Sqft",393 bay st,2018-01-04,,215.0,no,"393 bay st, San Francisco, CA, 94133",94577,there sushibar  restaurant,North Beach,94.0,2018.0,37.805472,-122.4134109,Census Tract 101,6075010100,http://www.sfgate.com/neighborhoods/sf/northbeach/,2236.0,92317.0,41840.0,1568.0,50106.0,2060.0,28.0,1279.0,230.0,490.0,22.0,0.0,44.0,45.0,35.0,217.0,26.0,96.0,381.0,626.0,267.0,221.0,105.0,36.0,1762.0,122.0,215.0,54095.0,69502.0,85671.0,43.0,65.1,6.1,21.4,2060.0,60.9,11.0,23.3,1.0,3.7,0.0,2.1,2.1,1.7,10.3,1.2,4.6,18.2,29.8,12.7,10.5,5.0,1.7,83.9,5.8,10.2,10.5,11.3,12.2,1.8,11.6,15.0,13.2,13.0,6.4,4.9,3739.0,38.7,1754.0,38.5,1985.0,39.1,713.0,2267.0,2090.0,177.0,2090.0,383.0,1707.0,46.9,53.1,34.1,92.2,7.8,100.0,18.3,81.7,2018,,1,
the melt,"Restaurant 1,000 - 2,000 Sqft",1 embarcadero center,2011-04-12,,2674.0,no,"1 embarcadero center, San Francisco, CA, 94111",67176,the melt,Financial District,93.0,2018.0,37.794588,-122.399642,Census Tract 105,6075010500,http://sanfrancisco.about.com/od/neighborhoodprofiles/ig/sfmaps/financial-district.htm,1693.0,206447.0,106757.0,924.0,97656.0,1583.0,21.2,1133.0,84.0,353.0,0.0,0.0,24.0,46.0,22.0,19.0,7.0,72.0,354.0,435.0,307.0,63.0,156.0,90.0,1195.0,165.0,235.0,117115.0,166992.0,154609.0,0.0,71.3,5.8,0.0,1583.0,71.0,5.3,22.1,0.0,1.6,0.0,1.5,2.9,1.4,1.2,0.4,4.5,22.2,27.3,19.2,3.9,9.8,5.6,74.9,10.3,14.7,1.6,3.0,3.2,2.0,1.2,13.5,8.2,31.1,8.0,28.1,2685.0,50.2,1390.0,48.5,1295.0,52.0,541.0,1985.0,1682.0,303.0,1682.0,384.0,1298.0,51.8,48.2,32.2,84.7,15.3,100.0,22.8,77.2,2011,,4,
alcatraz landing cafe,"Restaurant Greater Than 2,000 Sqft",pier 33 embarcadero,2006-09-25,,4334.0,no,"pier 33 embarcadero, San Francisco, CA, 94111",84983,alcatraz landing cafe,Northern Waterfront,98.0,2018.0,37.8066566,-122.4044573,Census Tract 101,6075010100,http://www.roughguides.com/travel/north-america/usa/san-francisco/the-northern-waterfront.aspx,2236.0,92317.0,41840.0,1568.0,50106.0,2060.0,28.0,1279.0,230.0,490.0,22.0,0.0,44.0,45.0,35.0,217.0,26.0,96.0,381.0,626.0,267.0,221.0,105.0,36.0,1762.0,122.0,215.0,54095.0,69502.0,85671.0,43.0,65.1,6.1,21.4,2060.0,60.9,11.0,23.3,1.0,3.7,0.0,2.1,2.1,1.7,10.3,1.2,4.6,18.2,29.8,12.7,10.5,5.0,1.7,83.9,5.8,10.2,10.5,11.3,12.2,1.8,11.6,15.0,13.2,13.0,6.4,4.9,3739.0,38.7,1754.0,38.5,1985.0,39.1,713.0,2267.0,2090.0,177.0,2090.0,383.0,1707.0,46.9,53.1,34.1,92.2,7.8,100.0,18.3,81.7,2006,,9,
tenroku ramen #2,"Restaurant 1,000 - 2,000 Sqft",4435 mission st,2009-07-01,,3324.0,no,"4435 mission st, San Francisco, CA, 94112",60334,tenroku ramen #2,Excelsior,83.0,2018.0,37.727239,-122.432799,Census Tract 260.01,6075026001,"http://en.wikipedia.org/wiki/Excelsior_District,_San_Francisco,_California",3495.0,84738.0,25230.0,369.0,28659.0,3091.0,30.0,809.0,804.0,967.0,286.0,18.0,160.0,227.0,148.0,351.0,266.0,92.0,140.0,359.0,602.0,521.0,138.0,119.0,2400.0,426.0,315.0,72567.0,86657.0,85296.0,137.0,71.2,10.1,7.3,3091.0,25.8,25.6,30.8,9.1,8.8,0.6,5.1,7.2,4.7,11.2,8.5,2.9,4.5,11.4,19.2,16.6,4.4,3.8,76.4,13.6,10.0,3.7,4.2,11.7,3.8,8.8,21.4,19.5,13.1,6.9,6.9,5863.0,36.7,2878.0,35.7,2985.0,37.9,1136.0,1579.0,1519.0,60.0,1519.0,766.0,753.0,49.1,50.9,74.8,96.2,3.8,100.0,50.4,49.6,2009,,7,
yan yan seafood resaurant,"Restaurant Greater Than 2,000 Sqft",2241 judah st,2014-07-01,,1498.0,no,"2241 judah st, San Francisco, CA, 94122",79565,yan yan seafood restaurant,Outer Sunset,91.0,2017.0,37.7611228,-122.4863271,Census Tract 326.02,6075032602,http://www.sfgate.com/neighborhoods/sf/outersunset/,2193.0,93650.0,32584.0,640.0,38071.0,1916.0,34.9,1085.0,433.0,281.0,95.0,0.0,49.0,161.0,13.0,89.0,72.0,18.0,123.0,224.0,746.0,210.0,147.0,98.0,1412.0,370.0,168.0,58494.0,83905.0,82695.0,22.0,57.8,11.1,1.2,1916.0,55.6,22.2,14.4,4.9,2.9,0.0,2.5,8.3,0.7,4.6,3.7,0.9,6.3,11.5,38.3,10.8,7.5,5.0,72.4,19.0,8.6,6.1,1.9,6.2,13.5,14.9,13.5,16.0,10.7,8.3,9.0,4316.0,43.3,2073.0,41.5,2243.0,45.6,976.0,1743.0,1669.0,74.0,1669.0,837.0,832.0,48.0,52.0,58.5,95.8,4.2,100.0,50.1,49.9,2014,,7,
the grilledcheezguy llc,,529 stevenson st unit 100,2018-01-09,,210.0,no,"529 stevenson st unit 100, San Francisco, CA, 94103",89909,the grilled cheeezguy llc,South of Market,88.0,2018.0,37.7811359,-122.410358,Census Tract 176.01,6075017601,http://www.sfgate.com/neighborhoods/sf/soma/,3188.0,49387.0,25330.0,2221.0,25938.0,2657.0,25.0,951.0,626.0,894.0,215.0,0.0,139.0,177.0,44.0,319.0,70.0,197.0,247.0,364.0,617.0,641.0,74.0,95.0,2522.0,334.0,128.0,23099.0,46745.0,61388.0,259.0,60.9,5.9,12.7,2657.0,31.9,21.0,30.0,7.2,10.0,0.0,4.7,5.9,1.5,10.7,2.3,6.6,8.3,12.2,20.7,21.5,2.5,3.2,84.5,11.2,4.3,17.8,16.6,18.0,5.9,6.8,10.1,11.3,9.5,1.8,2.3,7630.0,41.5,4723.0,42.8,2907.0,39.0,1029.0,5296.0,4321.0,975.0,4321.0,407.0,3914.0,61.9,38.1,23.8,81.6,18.4,100.0,9.4,90.6,2018,,1,
simply cafe,"Restaurant 1,000 - 2,000 Sqft",340 grove st,2018-01-09,,210.0,no,"340 grove st, San Francisco, CA, 94102",94442,simply cafe,Civic Center,94.0,2018.0,37.7781134,-122.422152,Census Tract 162,6075016200,"http://en.wikipedia.org/wiki/Civic_Center,_San_Francisco,_California",1725.0,94019.0,39001.0,1133.0,42687.0,1547.0,27.5,872.0,376.0,282.0,18.0,0.0,52.0,62.0,10.0,74.0,19.0,150.0,158.0,332.0,235.0,367.0,42.0,54.0,1240.0,134.0,181.0,51984.0,60896.0,65261.0,36.0,79.3,9.9,2.3,1547.0,56.1,24.2,18.1,1.2,0.5,0.0,3.3,4.0,0.6,4.8,1.2,9.6,10.2,21.4,15.1,23.6,2.7,3.5,79.7,8.6,11.6,9.2,6.3,7.8,7.7,15.4,19.3,21.3,8.9,3.2,0.9,2541.0,37.1,1491.0,39.4,1050.0,34.6,270.0,1742.0,1594.0,148.0,1594.0,155.0,1439.0,58.7,41.3,16.9,91.5,8.5,100.0,9.7,90.3,2018,,1,
orchids cafe,"Restaurant 1,000 - 2,000 Sqft",1031 ocean ave,2018-01-02,,217.0,no,"1031 ocean ave, San Francisco, CA, 94112",94600,orchids cafe,Ingleside,84.0,2018.0,37.7231141,-122.4536903,Census Tract 312.01,6075031201,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Ingleside,3149.0,86597.0,25929.0,267.0,29203.0,2597.0,30.1,796.0,512.0,809.0,192.0,0.0,177.0,273.0,42.0,374.0,104.0,128.0,217.0,203.0,711.0,124.0,123.0,192.0,1844.0,714.0,110.0,65732.0,81259.0,74630.0,49.0,64.6,15.3,6.7,2597.0,29.8,19.2,30.3,7.2,13.5,0.0,6.6,10.2,1.6,14.0,3.9,4.8,8.1,7.6,26.6,4.6,4.6,7.2,69.1,26.8,4.1,3.3,0.0,8.4,12.0,20.4,11.4,11.4,21.0,8.7,3.5,6167.0,38.9,3058.0,37.0,3109.0,40.5,1206.0,1861.0,1740.0,121.0,1740.0,975.0,765.0,49.6,50.4,69.3,93.5,6.5,100.0,56.0,44.0,2018,,1,
the sausage factory,,517 castro st,2018-01-11,,208.0,no,"517 castro st, San Francisco, CA, 94114",94726,the sausage factory,Castro,87.0,2018.0,37.7605183,-122.4346253,Census Tract 206,6075020600,http://www.sfgate.com/neighborhoods/sf/castro/,3357.0,217786.0,82406.0,2020.0,75421.0,3046.0,29.6,2333.0,147.0,570.0,69.0,0.0,30.0,133.0,20.0,421.0,59.0,334.0,283.0,880.0,544.0,218.0,102.0,109.0,2513.0,215.0,405.0,103229.0,148410.0,152961.0,70.0,73.8,6.7,3.1,3046.0,74.5,4.7,18.2,2.2,0.4,0.0,1.0,4.2,0.6,13.4,1.9,10.7,9.0,28.1,17.4,7.0,3.3,3.5,80.2,6.9,12.9,5.8,4.5,4.0,4.0,9.2,12.9,8.3,15.9,11.9,23.4,4711.0,40.7,2974.0,42.6,1737.0,37.1,599.0,2807.0,2594.0,213.0,2594.0,954.0,1640.0,63.1,36.9,23.1,92.4,7.6,100.0,36.8,63.2,2018,,1,
mr bread,"Restaurant Less Than 1,000 Sqft",1018 taraval st,2018-01-02,,217.0,no,"1018 taraval st, San Francisco, CA, 94116",94616,mr bread,Parkside,96.0,2018.0,37.7431851,-122.4772686,Census Tract 328.01,6075032801,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Parkside,2501.0,131306.0,35355.0,484.0,42779.0,2236.0,27.5,1032.0,382.0,566.0,71.0,20.0,39.0,248.0,20.0,344.0,170.0,27.0,174.0,463.0,559.0,201.0,40.0,66.0,1857.0,197.0,290.0,92778.0,111459.0,118060.0,17.0,61.9,5.2,4.2,2236.0,43.5,16.1,23.9,3.0,13.5,0.8,1.6,10.5,0.8,14.5,7.2,1.1,7.3,19.5,23.6,8.5,1.7,2.8,78.3,8.3,12.2,1.7,3.6,7.0,6.0,9.7,12.1,11.1,20.9,17.5,10.4,4238.0,42.5,1993.0,40.7,2245.0,43.9,949.0,1521.0,1437.0,84.0,1437.0,801.0,636.0,47.0,53.0,66.0,94.5,5.5,100.0,55.7,44.3,2018,,1,
