business_name,lic_code,street_address,business_start_date,business_end_date,Lifespan,isClosed,full_address,business_id,name,district,MA,year,latitude,longitude,tract,GEOID10,link,HC01_VC05,HC01_VC113,HC01_VC115,HC01_VC117,HC01_VC121,HC01_VC28,HC01_VC36,HC01_VC41,HC01_VC42,HC01_VC43,HC01_VC44,HC01_VC50,HC01_VC51,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC59,HC01_VC60,HC01_VC61,HC01_VC62,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC99,HC03_VC05,HC03_VC13,HC03_VC156,HC03_VC28,HC03_VC41,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC51,HC03_VC52,HC03_VC53,HC03_VC54,HC03_VC55,HC03_VC56,HC03_VC57,HC03_VC58,HC03_VC59,HC03_VC60,HC03_VC61,HC03_VC62,HC03_VC67,HC03_VC68,HC03_VC69,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80,HC03_VC81,HC03_VC82,HC03_VC83,HC03_VC84,HD01_S001,HD01_S020,HD01_S026,HD01_S045,HD01_S051,HD01_S070,HD01_S151,HD01_S169,HD01_S170,HD01_S171,HD01_S180,HD01_S181,HD01_S184,HD02_S026,HD02_S051,HD02_S151,HD02_S170,HD02_S171,HD02_S180,HD02_S181,HD02_S184,Opening_year,Closing_year,Opening_month,Closing_month,input_string,price_level,rating,business_name.1,Q1_16_Nature_Exp,Q2_16_Nature_Exp,Q3_16_Nature_Exp,Q4_16_Nature_Exp,Q1_17_Nature_Exp,Q2_17_Nature_Exp,Q3_17_Nature_Exp,Q4_17_Nature_Exp,Q1_16_Family_Fun,Q2_16_Family_Fun,Q3_16_Family_Fun,Q4_16_Family_Fun,Q1_17_Family_Fun,Q2_17_Family_Fun,Q3_17_Family_Fun,Q4_17_Family_Fun,Q1_16_Healthy_Lifestyle,Q2_16_Healthy_Lifestyle,Q3_16_Healthy_Lifestyle,Q4_16_Healthy_Lifestyle,Q1_17_Healthy_Lifestyle,Q2_17_Healthy_Lifestyle,Q3_17_Healthy_Lifestyle,Q4_17_Healthy_Lifestyle,Q1_16_Nightlife_Hotspot,Q2_16_Nightlife_Hotspot,Q3_16_Nightlife_Hotspot,Q4_16_Nightlife_Hotspot,Q1_17_Nightlife_Hotspot,Q2_17_Nightlife_Hotspot,Q3_17_Nightlife_Hotspot,Q4_17_Nightlife_Hotspot,Q1_16_Artsy,Q2_16_Artsy,Q3_16_Artsy,Q4_16_Artsy,Q1_17_Artsy,Q2_17_Artsy,Q3_17_Artsy,Q4_17_Artsy,Q1_16_Foodie,Q2_16_Foodie,Q3_16_Foodie,Q4_16_Foodie,Q1_17_Foodie,Q2_17_Foodie,Q3_17_Foodie,Q4_17_Foodie,Q1_16_Hipster,Q2_16_Hipster,Q3_16_Hipster,Q4_16_Hipster,Q1_17_Hipster,Q2_17_Hipster,Q3_17_Hipster,Q4_17_Hipster,Q1_16_Beautiful_Scenery,Q2_16_Beautiful_Scenery,Q3_16_Beautiful_Scenery,Q4_16_Beautiful_Scenery,Q1_17_Beautiful_Scenery,Q2_17_Beautiful_Scenery,Q3_17_Beautiful_Scenery,Q4_17_Beautiful_Scenery,Foodie_16,Foodie_17,lic_code_cat,district_cat,Nature_Exp,Family_Fun,Healthy_Lifestyle,Nightlife_Hotspot,Artsy,Foodie,Hipster,Beautiful_Scenery
blue fog market,,2567 gough st,6/24/2010,11/30/2016,2351,0,"2567 gough st, San Francisco, CA, 94123",95401,blue fog market,Pacific Heights,89,2018,37.7970802,-122.4273258,Census Tract 130,6075013000,http://www.sfgate.com/neighborhoods/sf/pacificheights/,2955,228543,87868,1717,71603,2733,31.9,1813,146,784,10,0,38,241,17,254,13,160,580,901,296,123,100,43,2408,114,244,95179,137856,134382,0,83.9,6.4,2.6,2733,65.5,5.3,28.3,0.4,0.5,0,1.4,8.7,0.6,9.2,0.5,5.8,21,32.6,10.7,4.4,3.6,1.6,87.1,4.1,8.8,5.3,1.3,8.4,4,5.9,16.1,9.8,15.6,17.8,15.7,4044,34.9,1860,35.4,2184,34.3,609,2678,2409,269,2409,598,1811,46,54,25.3,90,10,100,24.8,75.2,2010,2016,6,11,ritu indian soul food,2,4.2,agricole ii,66.84,64.92,70.64,76.05,69.06,72.5,66.45,65.37,75.76,75.1,74.64,75.25,71.06,73.66,73.48,73.94,80,82.35,84.61,83.76,82.17,82.68,80.28,80,92.51,93.28,94.91,96.56,95.53,95.22,93.08,94.01,95.81,95.87,97.4,97.84,97.25,96.98,96.38,95.93,63.56,66.35,68.98,75.09,78.58,77.68,65.96,59.42,85.42,86.14,90.56,91.24,90.63,91.37,85.15,80,16.04,22.6,29.38,15.57,18.33,8.81,17.89,19.44,68.495,70.41,-1,48,68.97875,74.11125,81.98125,94.3875,96.6825,69.4525,87.56375,18.5075
chez papa,,1401 18th st,6/23/2010,6/30/2016,2199,0,"1401 18th st, San Francisco, CA, 94107",82944,chez maman,Potrero Hill,85,2017,37.7624429,-122.3967113,Census Tract 227.02,6075022702,http://www.sfgate.com/neighborhoods/sf/potrerohill/,1592,171524,80150,652,71633,1451,27.1,1203,73,214,0,0,13,103,39,101,37,77,111,557,253,140,28,31,1077,278,135,124038,169812,168158,0,83.9,6.4,2.4,1451,80.7,4.9,14.4,0,0,0,0.9,6.9,2.6,6.8,2.5,5.2,7.4,37.4,17,9.4,1.9,2.1,72.3,18.7,9.1,2.7,0,0.9,5.8,7.4,7,20.4,13.2,18.7,23.9,2060,38.2,1079,38.3,981,38,379,1052,981,71,981,386,595,52.4,47.6,38.6,93.3,6.7,100,39.3,60.7,2010,2016,6,6,vanida thai kitchen,2,3.8,sushi fantastic,63.63,67.26,73.22,70.34,72.16,76.61,70.24,66.05,51.1,55.19,59.9,65.27,61.04,53.53,52.95,57.72,92.38,92.16,93,94.19,93.96,95.09,92.42,92.54,83.71,85.46,83.93,88.89,87.46,88.44,87.87,85.29,85.53,80.74,86.77,89.78,86.36,86.47,83.2,86.46,68.51,74.21,74.57,77.36,77.54,79.97,73.67,63.95,74.69,76.64,79.36,79.4,77.48,75.99,75.48,76.29,79.54,79.82,79.78,80,78.76,79.82,79.53,78.38,73.6625,73.7825,-1,55,69.93875,57.0875,93.2175,86.38125,85.66375,73.7225,76.91625,79.45375
nubi yogurt,Take-Out Establishment,2300 16th st 215,4/18/2010,12/29/2017,2812,0,"2300 16th st 215, San Francisco, CA, 94103",62913,nubi yogurt,Mission,99,2017,37.765708,-122.409002,Census Tract 177,6075017700,http://www.sfgate.com/neighborhoods/sf/mission/,1109,91145,45100,501,35259,1077,26.4,630,220,118,81,0,97,54,33,24,0,30,101,193,236,201,102,13,919,95,70,78814,90940,89669,0,83.5,2.3,0,1077,58.1,20.3,10.9,7.5,3.2,0,8.9,5,3,2.2,0,2.8,9.3,17.8,21.8,18.5,9.4,1.2,84.8,8.8,6.5,2.6,0,10.9,7.4,12.7,13.3,17.7,20.6,9.2,5.5,2128,35.2,1308,36.9,820,32.7,245,801,744,57,744,164,580,61.5,38.5,32.9,92.9,7.1,100,22,78,2010,2017,4,12,pizza zone n grill,2,4,caffe baonecci,69.37,76.58,79.41,76.21,73.84,78.56,71.38,76,74.69,79.22,78.22,77.58,78.27,78.3,79.86,76.4,79.78,79.89,79.87,79.75,79.95,80,79.69,79.65,88.23,89.52,90.99,93.24,88.73,90.4,91.55,89.48,88.73,88.65,91.38,90.75,90.95,90.45,90.59,90.39,75.16,78.67,79.69,79.99,79.98,80,79.99,75.48,78.99,79.89,80,85.56,84.39,85.08,79.77,78.22,66.76,68.34,75.38,74.48,67.18,69.52,72.3,63.96,78.3775,78.8625,4,38,75.16875,77.8175,79.8225,90.2675,90.23625,78.62,81.4875,69.74
creperie saint germain,,1760 cesar chavez l,8/25/2010,9/30/2016,2228,0,"1760 cesar chavez l, San+francisco, CA, 94124",90643,creperie saint germain,Potrero Hill,86.5,2018,37.750466,-122.39495,Census Tract 9809,6075980900,http://www.sfgate.com/neighborhoods/sf/potrerohill/,305,142438,85280,107,93189,305,31.9,210,11,61,0,0,20,49,0,52,0,0,9,68,88,19,0,0,247,41,17,149914,152746,146806,9,97.1,0,12.7,305,68.9,3.6,20,0,7.5,0,6.6,16.1,0,17,0,0,3,22.3,28.9,6.2,0,0,81,13.4,5.6,5.1,0,0,0,0,12.9,11.2,21.3,18,31.5,350,37.8,211,39,139,35.8,43,160,146,14,146,26,120,60.3,39.7,29.5,91.3,8.8,100,17.8,82.2,2010,2016,8,9,the broken record,1,4.2,civic restaurant  bar,58.31,57.53,73.29,73.11,72.03,72.86,57.64,65.76,79.43,79.05,80,79.95,79.9,79.85,79.88,79.85,82.55,87.31,86.73,88.65,85.98,88.06,86.24,82.42,92.57,94.23,93.72,95.13,93.71,95.05,94.11,93.53,94.94,95.14,96.89,96.92,96.35,95.57,95.59,95.26,75.73,77.64,79.6,78.82,79.94,79.99,77.88,72.14,90.6,86.1,91.95,93.06,94.71,95.28,87.65,85.52,34.29,35.07,41.07,48.08,50.36,40.65,35.86,40.99,77.9475,77.4875,-1,55,66.31625,79.73875,85.9925,94.00625,95.8325,77.7175,90.60875,40.79625
cholo soy,,2301 mission st,10/17/2010,7/5/2016,2088,0,"2301 mission st, San Francisco, CA, 9411",88721,cholo soy,Mission,92,2018,37.760087,-122.418806,Census Tract 208,6075020800,http://www.sfgate.com/neighborhoods/sf/mission/,4868,65801,31221,1537,28039,4535,32.2,1567,1354,861,391,48,279,240,46,271,222,167,130,960,690,1121,307,83,3610,415,539,56346,77581,89857,22,79.4,6.2,15.1,4535,34.3,29.7,18.9,8.6,8.6,1.1,6.1,5.3,1,5.9,4.9,3.7,2.8,21,15.1,24.6,6.7,1.8,79.1,9.1,11.8,4.2,10.8,12.4,9,10.8,11,13.1,13.8,7.9,7.1,6577,34.5,3791,34.5,2786,34.5,976,2718,2543,175,2543,432,2111,57.6,42.4,38.4,93.6,6.4,100,17,83,2010,2016,10,7,pizzelle di north beach,2,4.1,tj cafe,76.33,77.91,79.15,79.63,76.76,79.71,75.79,78.06,46.8,44.56,50.11,42.77,47.03,47.65,47.88,47.82,49.64,53.42,51.88,47.14,50.19,60.5,45.21,44.72,44.13,34.59,44.76,46.73,46.66,47.1,46.82,41.02,39.31,48.35,36.73,39.48,43.8,44.31,40.62,33.31,10.23,19.93,23.77,39.72,35.66,10.72,15.57,2.65,12.79,41.43,41.01,10.33,42.47,49.34,37.06,16.88,55.65,59.06,60.97,61.31,57.56,59.83,42.08,56.88,23.4125,16.15,-1,38,77.9175,46.8275,50.3375,43.97625,40.73875,19.78125,31.41375,56.6675
butter love bakeshop,"Restaurant Less Than 1,000 Sqft",3717 balboa st,11/9/2010,10/18/2017,2535,0,"3717 balboa st, San Francisco, CA, 94121",85706,butter love bakeshop,Outer Richmond,90,2018,37.7754884,-122.4987752,Census Tract 479.01,6075047901,http://www.sfgate.com/neighborhoods/sf/outerrichmond/,4187,107162,40125,1106,42592,3738,32.1,1837,690,909,224,0,242,171,132,311,164,49,396,771,711,527,198,161,2917,604,312,78643,97107,96651,46,71.4,8.5,1.8,3738,47.9,18,23.7,5.8,4.5,0,6.3,4.5,3.4,8.1,4.3,1.3,10.3,20.1,18.5,13.7,5.2,4.2,76.1,15.8,8.1,2.7,3,8.7,6.8,11.5,13.9,13.5,21.4,6.5,12,6400,44.1,3117,42.8,3283,45.4,1480,2893,2670,223,2670,1273,1397,48.7,51.3,55.4,92.3,7.7,100,47.7,52.3,2010,2017,11,10,starbucks coffee,2,4,the clay pot house,77.1,75.68,79.37,78.23,78.01,78.68,78.06,74.98,40.81,40.61,51.84,56.16,56.98,45.19,51.42,50.42,64.37,69.06,71.16,69.92,69.58,67.27,67.88,64.58,24.64,28.19,37.22,42.93,36.67,47.24,26.27,35.17,67.56,67.29,72.29,71.58,71.57,69.56,70.89,65.51,55.4,51.13,77.72,75.19,79.1,78.25,66.66,41.03,41.94,45.81,37.45,46.89,59.82,47.41,33.28,33.52,2.96,2.99,3.78,3.16,3.49,2.95,3.12,3.06,64.86,66.26,3,46,77.51375,49.17875,67.9775,34.79125,69.53125,65.56,43.265,3.18875
mac daddy,,1453 18th st,6/23/2010,6/30/2016,2199,0,"1453 18th st, San Francisco, CA, 94107",88264,mac daddy,Potrero Hill,91,2018,37.7624014,-122.3970708,Census Tract 227.02,6075022702,http://www.sfgate.com/neighborhoods/sf/potrerohill/,1592,171524,80150,652,71633,1451,27.1,1203,73,214,0,0,13,103,39,101,37,77,111,557,253,140,28,31,1077,278,135,124038,169812,168158,0,83.9,6.4,2.4,1451,80.7,4.9,14.4,0,0,0,0.9,6.9,2.6,6.8,2.5,5.2,7.4,37.4,17,9.4,1.9,2.1,72.3,18.7,9.1,2.7,0,0.9,5.8,7.4,7,20.4,13.2,18.7,23.9,2060,38.2,1079,38.3,981,38,379,1052,981,71,981,386,595,52.4,47.6,38.6,93.3,6.7,100,39.3,60.7,2010,2016,6,6,golden horse restaurant,1,4.1,aveline,55.43,56.93,76.52,73.58,69.49,72.5,55.23,66.4,65.19,71.25,75.35,74.99,69.52,73.2,67.47,70.66,88.97,88.36,86.33,90.12,89.3,90.36,86.66,87.74,95.25,96.13,96.53,96.78,95.99,96.64,97.04,96,95.42,95.44,97.12,97.05,96.56,96.31,95.69,95.97,76.42,79.62,80,79.99,79.83,80.62,79.45,75.93,87.78,85.84,91.31,92.64,90.17,90.46,88.92,80,75.84,76.8,78.98,76.82,78.95,76.57,67.44,71.57,79.0075,78.9575,-1,55,65.76,70.95375,88.48,96.295,96.195,78.9825,88.39,75.37125
luv a java,,1300 dolores st,5/5/2011,7/18/2017,2266,0,"1300 dolores st, San Francisco, CA, 9411",92426,luv a java,Dolores Heights,95,2018,37.7485083,-122.4251291,Census Tract 214,6075021400,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Dolores_Heights,2569,165833,66220,1147,55239,2359,32.1,1823,173,379,41,0,33,114,13,122,11,171,206,774,508,307,72,96,1785,362,280,101222,127390,128121,13,84.2,5.5,2.9,2359,75.1,7.1,15.6,1.7,0.5,0,1.4,4.7,0.5,5,0.5,7,8.5,31.9,20.9,12.6,3,4,73.5,14.9,11.5,2.3,2.9,3,5.4,9.2,14.1,11.7,15.9,17.1,18.2,3264,38,1617,39.2,1647,37,655,1770,1619,151,1619,676,943,49.5,50.5,40.5,91.5,8.5,100,41.8,58.2,2011,2017,5,7,beard papas,1,4,center cafe,62.8,66.89,72.3,78.23,68.79,74.57,68.67,66.27,74.33,71.71,69.96,73.77,70.8,74.78,75.65,76.16,83.65,85.78,87.4,86.3,85.53,86.32,84.65,83.58,88.26,90.77,91.93,94.54,91.99,92.51,89.67,91.31,95.28,95.32,96.63,96.82,96.43,95.87,95.68,95.13,69.76,75.19,77.2,79.37,79.67,79.81,72.57,67.89,86.15,88.11,94.04,91.36,92.96,93.4,83.18,79.97,13.96,47.14,52.31,37.29,39.87,13.42,18.55,21.49,75.38,74.985,-1,12,69.815,73.395,85.40125,91.3725,95.895,75.1825,88.64625,30.50375
chez fayala,,200 pine st 180,4/20/2011,4/1/2016,1808,0,"200 pine st 180, San Francisco, CA, 94104",93150,chez beesen,Financial District,74,2018,37.792388,-122.400245,Census Tract 117,6075011700,http://sanfrancisco.about.com/od/neighborhoodprofiles/ig/sfmaps/financial-district.htm,733,55747,27841,737,30855,685,19.1,234,180,139,0,0,13,56,0,114,71,47,57,102,126,55,54,0,578,58,59,23165,41735,56874,84,54.3,5.2,26.6,685,33.7,25.9,20,0,20.4,0,1.9,8.1,0,16.4,10.2,6.8,8.2,14.7,18.1,7.9,7.8,0,83.2,8.3,8.5,18.3,18.8,16.6,17,3.4,10,1.6,6.5,4.8,2.9,1783,43.6,988,44.3,795,42.4,292,1416,1012,404,1012,87,925,55.4,44.6,28.9,71.5,28.5,100,8.6,91.4,2011,2016,4,4,manhattan hub,1,4.2,jack in the box #545,57.59,58.53,76.69,73.95,69.58,73.39,57.58,67.09,67.25,71.21,74.87,75.51,70.64,74.83,70,73.28,89.62,89.22,86.93,90.15,90.17,90.88,86.91,88.28,95.52,96.18,96.66,96.94,96.13,96.57,97.16,96.04,95.55,95.43,97.24,97.17,96.78,96.52,95.82,96.08,76.42,79.6,79.98,79.97,79.71,80.38,79.1,75.91,88.01,86.28,91.42,92.58,90.47,90.37,88.94,80.24,76.5,77.62,79.55,77.52,78.76,76.63,68.88,71.6,78.9925,78.775,-1,17,66.8,72.19875,89.02,96.4,96.32375,78.88375,88.53875,75.8825
umami burger,"Restaurant 1,000 - 2,000 Sqft",2184 union st,9/15/2011,6/1/2018,2451,0,"2184 union st, San Francisco, CA, 94123",67357,umami burger sf,Union Street,85.5,2018,37.797168,-122.435124,Census Tract 130,6075013000,,2955,228543,87868,1717,71603,2733,31.9,1813,146,784,10,0,38,241,17,254,13,160,580,901,296,123,100,43,2408,114,244,95179,137856,134382,0,83.9,6.4,2.6,2733,65.5,5.3,28.3,0.4,0.5,0,1.4,8.7,0.6,9.2,0.5,5.8,21,32.6,10.7,4.4,3.6,1.6,87.1,4.1,8.8,5.3,1.3,8.4,4,5.9,16.1,9.8,15.6,17.8,15.7,4044,34.9,1860,35.4,2184,34.3,609,2678,2409,269,2409,598,1811,46,54,25.3,90,10,100,24.8,75.2,2011,2018,9,6,hookers sweet treats,1,4.6,pupuseria el golazo,30.85,33.75,40.08,38.97,40.4,51.3,32.07,33.05,3.2,37.62,27.05,5.19,13.05,21.08,6,3.74,5.67,7.93,8.51,7.06,7.01,8.3,6.57,5.68,26.28,32.55,33.8,30.18,27.73,31.62,28.34,28.32,19.53,17.97,21.45,25.1,27.94,22.93,20.25,19.61,1.95,4.8,19,24.67,7.58,14.01,17.74,0.22,5.95,6.94,12.12,24.58,27.26,14.33,7.43,4.21,0.86,3.05,12.89,13.01,0.86,0.85,0.86,0.86,12.605,9.8875,1,66,37.55875,14.61625,7.09125,29.8525,21.8475,11.24625,12.8525,4.155
