business_name,lic_code,business_start_date,business_end_date,Lifespan,closed,age_if_opened,full_address,business_id,name,MA,year,lati,longi
yokai express inc,,12/28/2017,,,no,216.0,"135 4th st ste 4000, San Francisco, CA, 94103",94310,yokai express,100.0,2018.0,37.7843318,-122.40336629999999
sizzling pot king,"Restaurant 1,000 - 2,000 Sqft",12/28/2017,,,no,216.0,"139 8th st, San Francisco, CA, 94103",94408,sizzling pot king,83.0,2018.0,37.7771722,-122.412601
burma super star restaurant,"Restaurant 1,000 - 2,000 Sqft",03/01/2001,,,no,6362.0,"309 clement st, San Francisco, CA, 94118",1977,burma superstar restaurant,89.0,2017.0,37.783004,-122.46253899999999
foundation cafe,,12/15/2017,,,no,229.0,"645 5th st, San Francisco, CA, 94107",94387,foundation cafe,85.0,2018.0,37.776840299999996,-122.397702
new york pizza kitchen,,03/16/2016,03/14/2017,363.0,yes,,"127 eddy st, San Francisco, CA, 94102",91028,new york pizza kitchen,87.0,2018.0,37.7841852,-122.40976809999998
corner bakery cafe #1584,Places Of Public Assembly & Open-Air Assembly,05/01/2015,,,no,1188.0,"665 market st, San Francisco, CA, 94105",83327,corner bakery cafe #1584,96.0,2017.0,37.7880302,-122.4026327
sorrel restaurant,Multiple,01/01/2018,,,no,212.0,"3228 sacramento st, San Francisco, CA, 94115",94604,sorrel restaurant,93.0,2018.0,37.7885505,-122.44621509999999
braised + bread,"Restaurant 1,000 - 2,000 Sqft",01/02/2018,,,no,211.0,"50 post st unit 65a, San Francisco, CA, 94104",94432,braised + bread,100.0,2018.0,37.7891638,-122.40297930000001
joint venture kitchen,"Restaurant 1,000 - 2,000 Sqft",06/26/2017,,,no,401.0,"167 11th street, San Francisco, CA, 94103",92980,joint venture kitchen,93.0,2018.0,37.7737561,-122.41605829999999
there sushibar  restaurant,"Restaurant Greater Than 2,000 Sqft",01/04/2018,,,no,209.0,"393 bay st, San Francisco, CA, 94133",94577,there sushibar  restaurant,94.0,2018.0,37.805471999999995,-122.41341090000002
native baking company,Caterer,03/29/2013,,,no,1951.0,"1324 fitzgerald ave c, San Francisco, CA, 94124",94412,native baking company,98.0,2018.0,37.722538899999996,-122.39376750000001
the melt,"Restaurant 1,000 - 2,000 Sqft",04/12/2011,,,no,2668.0,"1 embarcadero center, San Francisco, CA, 94111",67176,the melt,93.0,2018.0,37.794588,-122.39964199999999
alcatraz landing cafe,"Restaurant Greater Than 2,000 Sqft",09/25/2006,,,no,4328.0,"pier 33 embarcadero, San Francisco, CA, 94111",84983,alcatraz landing cafe,98.0,2018.0,37.8066566,-122.40445729999999
tenroku ramen #2,"Restaurant 1,000 - 2,000 Sqft",07/01/2009,,,no,3318.0,"4435 mission st, San Francisco, CA, 94112",60334,tenroku ramen #2,83.0,2018.0,37.727239000000004,-122.432799
yan yan seafood resaurant,"Restaurant Greater Than 2,000 Sqft",07/01/2014,,,no,1492.0,"2241 judah st, San Francisco, CA, 94122",79565,yan yan seafood restaurant,91.0,2017.0,37.761122799999995,-122.4863271
the grilledcheezguy llc,,01/09/2018,,,no,204.0,"529 stevenson st unit 100, San Francisco, CA, 94103",89909,the grilled cheeezguy llc,88.0,2018.0,37.7811359,-122.410358
simply cafe,"Restaurant 1,000 - 2,000 Sqft",01/09/2018,,,no,204.0,"340 grove st, San Francisco, CA, 94102",94442,simply cafe,94.0,2018.0,37.778113399999995,-122.422152
orchids cafe,"Restaurant 1,000 - 2,000 Sqft",01/02/2018,,,no,211.0,"1031 ocean ave, San Francisco, CA, 94112",94600,orchids cafe,84.0,2018.0,37.723114100000004,-122.45369029999999
the sausage factory,,01/11/2018,,,no,202.0,"517 castro st, San Francisco, CA, 94114",94726,the sausage factory,87.0,2018.0,37.76051830000001,-122.43462530000001
mr bread,"Restaurant Less Than 1,000 Sqft",01/02/2018,,,no,211.0,"1018 taraval st, San Francisco, CA, 94116",94616,mr bread,96.0,2018.0,37.743185100000005,-122.4772686
babys eatery and palabok,,01/08/2018,,,no,205.0,"4609 mission street, San Francisco, CA, 94112",824,babys eatery and palabok,74.0,2018.0,37.724579,-122.43487900000001
tommys joynt,Multiple,06/30/2015,,,no,1128.0,"1101 geary blvd, San Francisco, CA, 94109",87613,tommys joynt,79.5,2018.0,37.785533,-122.4217955
