location_id,ownership_name,business_name,category,lic_code,street_address,State,City,zipcode,business_start_date,business_end_date,neighborhoods,business_location,supervisor_district,Lifespan,formatted_address,google_place_id,latitude,longitude,formatted_name,business_id,name,score,year
0343504-01-001,East-West Holdings Inc,Burma Super Star Restaurant,Food Services,"Restaurant 1,000 - 2,000 Sqft",309 Clement St,CA,San Francisco,94118.0,03/01/2001,,Inner Richmond,"309 CLEMENT ST
San Francisco, CA 94118
(37.783046, -122.462531)",1.0,,"309 Clement St, San Francisco, CA 94118, USA",ChIJ7Tyh4TuHhYARdYpz0QD1nCk,37.7828176,-122.46253600000001,burma,1977,BURMA SUPERSTAR RESTAURANT,91.0,2017.0
0343504-01-001,East-West Holdings Inc,Burma Super Star Restaurant,Food Services,"Restaurant 1,000 - 2,000 Sqft",309 Clement St,CA,San Francisco,94118.0,03/01/2001,,Inner Richmond,"309 CLEMENT ST
San Francisco, CA 94118
(37.783046, -122.462531)",1.0,,"309 Clement St, San Francisco, CA 94118, USA",ChIJ7Tyh4TuHhYARdYpz0QD1nCk,37.7828176,-122.46253600000001,burma,1977,BURMA SUPERSTAR RESTAURANT,87.0,2016.0
1175523-01-181,Patrick John Alvir,Baby's Eatery And Palabok,Food Services,,4609 Mission Street,CA,San Francisco,94112.0,01/08/2018,,Excelsior,,11.0,,"4609 Mission St, San Francisco, CA 94112, USA",ChIJ__-iUo9-j4ARLzkmCcZcBmg,37.724433000000005,-122.4347249,baby's,824,BABY'S EATERY AND PALABOK,77.0,2018.0
1175523-01-181,Patrick John Alvir,Baby's Eatery And Palabok,Food Services,,4609 Mission Street,CA,San Francisco,94112.0,01/08/2018,,Excelsior,,11.0,,"4609 Mission St, San Francisco, CA 94112, USA",ChIJ__-iUo9-j4ARLzkmCcZcBmg,37.724433000000005,-122.4347249,baby's,824,BABY'S EATERY AND PALABOK,76.0,2016.0
1175523-01-181,Patrick John Alvir,Baby's Eatery And Palabok,Food Services,,4609 Mission Street,CA,San Francisco,94112.0,01/08/2018,,Excelsior,,11.0,,"4609 Mission St, San Francisco, CA 94112, USA",ChIJ__-iUo9-j4ARLzkmCcZcBmg,37.724433000000005,-122.4347249,baby's,824,BABY'S EATERY AND PALABOK,80.0,2016.0
1175523-01-181,Patrick John Alvir,Baby's Eatery And Palabok,Food Services,,4609 Mission Street,CA,San Francisco,94112.0,01/08/2018,,Excelsior,,11.0,,"4609 Mission St, San Francisco, CA 94112, USA",ChIJ__-iUo9-j4ARLzkmCcZcBmg,37.724433000000005,-122.4347249,baby's,824,BABY'S EATERY AND PALABOK,71.0,2017.0
0364643-06-003,Sodexo America Llc,Academy Of Arts Univ,Food Services,"Restaurant Greater Than 2,000 Sqft",860 Sutter St,CA,San Francisco,94102.0,11/18/2002,,Nob Hill,"860 SUTTER ST
San Francisco, CA 94102
(37.788878, -122.411407)",3.0,,"860 Sutter St, San Francisco, CA 94109, USA",ChIJOZXlO5KAhYARLUUIJadgltY,37.788769099999996,-122.41460759999998,academy,2920,ACADEMY OF ARTS UNIV- I HOUSE CAFE,100.0,2016.0
0364643-06-003,Sodexo America Llc,Academy Of Arts Univ,Food Services,"Restaurant Greater Than 2,000 Sqft",860 Sutter St,CA,San Francisco,94102.0,11/18/2002,,Nob Hill,"860 SUTTER ST
San Francisco, CA 94102
(37.788878, -122.411407)",3.0,,"860 Sutter St, San Francisco, CA 94109, USA",ChIJOZXlO5KAhYARLUUIJadgltY,37.788769099999996,-122.41460759999998,academy,2920,ACADEMY OF ARTS UNIV- I HOUSE CAFE,96.0,2017.0
0364643-06-003,Sodexo America Llc,Academy Of Arts Univ,Food Services,"Restaurant Greater Than 2,000 Sqft",860 Sutter St,CA,San Francisco,94102.0,11/18/2002,,Nob Hill,"860 SUTTER ST
San Francisco, CA 94102
(37.788878, -122.411407)",3.0,,"860 Sutter St, San Francisco, CA 94109, USA",ChIJOZXlO5KAhYARLUUIJadgltY,37.788769099999996,-122.41460759999998,academy,2920,ACADEMY OF ARTS UNIV- I HOUSE CAFE,100.0,2018.0
1176824-01-181,Mmr-Sf.llc,Marrakech Moroccan Restaurant,Food Services,,419 Ofarrell St,CA,Sanfrancisco,94102.0,01/24/2018,,Tenderloin,,6.0,,"419 O'Farrell St, San Francisco, CA 94102, USA",ChIJh4AEz4-AhYARXsIEprl4cwk,37.7858546,-122.41176090000002,marrakech,3800,MARRAKECH MORROCAN RESTAURANT,88.0,2016.0
