alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
shizen-vegan-sushi-bar-and-izakaya-san-francisco,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'izakaya', 'title': 'Izakaya'}]","{'latitude': 37.768314, 'longitude': -122.421642}",(415) 678-5767,1540.5965160298517,CYttYTEiQuhSfo3SEh79fA,https://s3-media3.fl.yelpcdn.com/bphoto/ose-rlo_a7c6pybjIxjHbA/o.jpg,False,"{'address1': '370 14th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['370 14th St', 'San Francisco, CA 94103']}",Shizen Vegan Sushi Bar & Izakaya,+14156785767,$$,4.5,1118,['restaurant_reservation'],https://www.yelp.com/biz/shizen-vegan-sushi-bar-and-izakaya-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w
scomas-restaurant-san-francisco-3,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'lounges', 'title': 'Lounges'}]","{'latitude': 37.808944, 'longitude': -122.418462}",(415) 771-4383,5571.204721217614,jqEpBbf_qNfWuz_GBkwCjw,https://s3-media4.fl.yelpcdn.com/bphoto/5ZqAdIz1IhUDlmK6qP3WvA/o.jpg,False,"{'address1': '1965 Al Scoma Way', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['1965 Al Scoma Way', 'San Francisco, CA 94133']}",Scoma's Restaurant,+14157714383,$$$,4.0,3129,['restaurant_reservation'],https://www.yelp.com/biz/scomas-restaurant-san-francisco-3?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w
genki-crepes-and-mini-mart-san-francisco,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'creperies', 'title': 'Creperies'}]","{'latitude': 37.78326, 'longitude': -122.46283}",(415) 379-6414,3399.476139422393,83dXgt2nG98JJG2F7ai8AQ,https://s3-media1.fl.yelpcdn.com/bphoto/G91SHkeazYWD5aSxuQkJ4g/o.jpg,False,"{'address1': '330 Clement St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['330 Clement St', 'San Francisco, CA 94118']}",Genki Crepes & Mini-Mart,+14153796414,$,4.0,2112,[],https://www.yelp.com/biz/genki-crepes-and-mini-mart-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w
bar-crudo-san-francisco,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]","{'latitude': 37.7756673618778, 'longitude': -122.438271045685}",(415) 409-0679,1649.9290902692737,CTE5lnXUYp4xidmh35knNg,https://s3-media4.fl.yelpcdn.com/bphoto/1NzPsjRDsqQdtTqa_GN20g/o.jpg,False,"{'address1': '655 Divisadero St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94117', 'country': 'US', 'state': 'CA', 'display_address': ['655 Divisadero St', 'San Francisco, CA 94117']}",Bar Crudo,+14154090679,$$$,4.0,1771,[],https://www.yelp.com/biz/bar-crudo-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w
pizzeria-delfina-san-francisco-san-francisco,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 37.7614143, 'longitude': -122.4242316}",(415) 437-6800,1075.3609253950508,bai6umLcCNy9cXql0Js2RQ,https://s3-media3.fl.yelpcdn.com/bphoto/mXfuUNiaoGaeg7ra4IgcJQ/o.jpg,False,"{'address1': '3611 18th St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['3611 18th St', 'San Francisco, CA 94110']}",Pizzeria Delfina - San Francisco,+14154376800,$$,4.0,2199,[],https://www.yelp.com/biz/pizzeria-delfina-san-francisco-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w
pearls-deluxe-burgers-san-francisco-3,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 37.787823, 'longitude': -122.413699}",(415) 409-6120,3600.016248589769,TRBP1G1l8vZkjgfqdx96Cw,https://s3-media2.fl.yelpcdn.com/bphoto/rPdSJl_K9cWknTJSsH9KDg/o.jpg,False,"{'address1': '708 Post St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['708 Post St', 'San Francisco, CA 94109']}",Pearl's Deluxe Burgers,+14154096120,$$,4.0,2012,[],https://www.yelp.com/biz/pearls-deluxe-burgers-san-francisco-3?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w
zero-zero-san-francisco,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 37.78163, 'longitude': -122.40204}",(415) 348-8800,3800.206476277323,8skVQNkVBv90iiPtFeSpzw,https://s3-media2.fl.yelpcdn.com/bphoto/JB5XNOgdQHocE4nI9DHWkA/o.jpg,False,"{'address1': '826 Folsom St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['826 Folsom St', 'San Francisco, CA 94107']}",Zero Zero,+14153488800,$$,4.0,2970,['restaurant_reservation'],https://www.yelp.com/biz/zero-zero-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w
la-folie-san-francisco,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 37.798136, 'longitude': -122.422036}",(415) 776-5577,4329.894303195132,eSixRz7xcwtFdeh9hN5TyQ,https://s3-media4.fl.yelpcdn.com/bphoto/jpE9WzC9-YvHXxD_yntI3A/o.jpg,False,"{'address1': '2316 Polk St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['2316 Polk St', 'San Francisco, CA 94109']}",La Folie,+14157765577,$$$$,4.5,1400,[],https://www.yelp.com/biz/la-folie-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w
marlowe-san-francisco-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'brasseries', 'title': 'Brasseries'}]","{'latitude': 37.7783200510611, 'longitude': -122.396771288052}",(415) 777-1413,3989.2680242711845,c0WpyZFR3EoEBKcoY2LZ3Q,https://s3-media3.fl.yelpcdn.com/bphoto/uweSiOf0XBB4BPk_ibHVyg/o.jpg,False,"{'address1': '500 Brannan St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['500 Brannan St', 'San Francisco, CA 94107']}",Marlowe,+14157771413,$$,4.0,2451,[],https://www.yelp.com/biz/marlowe-san-francisco-2?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w
good-mong-kok-bakery-san-francisco,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'cantonese', 'title': 'Cantonese'}]","{'latitude': 37.7954584839809, 'longitude': -122.408358365012}",(415) 397-2688,4567.4100400050365,-sg6DqQNGyTMt0MHoY7diQ,https://s3-media2.fl.yelpcdn.com/bphoto/Wndwx-kui0DexPf3rcwz_A/o.jpg,False,"{'address1': '1039 Stockton St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94108', 'country': 'US', 'state': 'CA', 'display_address': ['1039 Stockton St', 'San Francisco, CA 94108']}",Good Mong Kok Bakery,+14153972688,$,4.0,2092,[],https://www.yelp.com/biz/good-mong-kok-bakery-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w
