alias,categories,display_phone,image_url,is_closed,location,name,price,rating,review_count,transactions,url,lat,long
shizen-vegan-sushi-bar-and-izakaya-san-francisco,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'izakaya', 'title': 'Izakaya'}]",(415) 678-5767,https://s3-media3.fl.yelpcdn.com/bphoto/ose-rlo_a7c6pybjIxjHbA/o.jpg,False,"{'address1': '370 14th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['370 14th St', 'San Francisco, CA 94103']}",Shizen Vegan Sushi Bar & Izakaya,$$,4.5,1118,['restaurant_reservation'],https://www.yelp.com/biz/shizen-vegan-sushi-bar-and-izakaya-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.768314, -122.421642
scomas-restaurant-san-francisco-3,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'lounges', 'title': 'Lounges'}]",(415) 771-4383,https://s3-media4.fl.yelpcdn.com/bphoto/5ZqAdIz1IhUDlmK6qP3WvA/o.jpg,False,"{'address1': '1965 Al Scoma Way', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['1965 Al Scoma Way', 'San Francisco, CA 94133']}",Scoma's Restaurant,$$$,4.0,3129,['restaurant_reservation'],https://www.yelp.com/biz/scomas-restaurant-san-francisco-3?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.808944, -122.418462
genki-crepes-and-mini-mart-san-francisco,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'creperies', 'title': 'Creperies'}]",(415) 379-6414,https://s3-media1.fl.yelpcdn.com/bphoto/G91SHkeazYWD5aSxuQkJ4g/o.jpg,False,"{'address1': '330 Clement St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['330 Clement St', 'San Francisco, CA 94118']}",Genki Crepes & Mini-Mart,$,4.0,2112,[],https://www.yelp.com/biz/genki-crepes-and-mini-mart-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.78326, -122.46283
bar-crudo-san-francisco,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]",(415) 409-0679,https://s3-media4.fl.yelpcdn.com/bphoto/1NzPsjRDsqQdtTqa_GN20g/o.jpg,False,"{'address1': '655 Divisadero St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94117', 'country': 'US', 'state': 'CA', 'display_address': ['655 Divisadero St', 'San Francisco, CA 94117']}",Bar Crudo,$$$,4.0,1771,[],https://www.yelp.com/biz/bar-crudo-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7756673618778, -122.438271045685
pizzeria-delfina-san-francisco-san-francisco,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",(415) 437-6800,https://s3-media3.fl.yelpcdn.com/bphoto/mXfuUNiaoGaeg7ra4IgcJQ/o.jpg,False,"{'address1': '3611 18th St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['3611 18th St', 'San Francisco, CA 94110']}",Pizzeria Delfina - San Francisco,$$,4.0,2199,[],https://www.yelp.com/biz/pizzeria-delfina-san-francisco-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7614143, -122.4242316
pearls-deluxe-burgers-san-francisco-3,"[{'alias': 'burgers', 'title': 'Burgers'}]",(415) 409-6120,https://s3-media2.fl.yelpcdn.com/bphoto/rPdSJl_K9cWknTJSsH9KDg/o.jpg,False,"{'address1': '708 Post St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['708 Post St', 'San Francisco, CA 94109']}",Pearl's Deluxe Burgers,$$,4.0,2012,[],https://www.yelp.com/biz/pearls-deluxe-burgers-san-francisco-3?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.787823, -122.413699
zero-zero-san-francisco,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",(415) 348-8800,https://s3-media2.fl.yelpcdn.com/bphoto/JB5XNOgdQHocE4nI9DHWkA/o.jpg,False,"{'address1': '826 Folsom St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['826 Folsom St', 'San Francisco, CA 94107']}",Zero Zero,$$,4.0,2970,['restaurant_reservation'],https://www.yelp.com/biz/zero-zero-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.78163, -122.40204
la-folie-san-francisco,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",(415) 776-5577,https://s3-media4.fl.yelpcdn.com/bphoto/jpE9WzC9-YvHXxD_yntI3A/o.jpg,False,"{'address1': '2316 Polk St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['2316 Polk St', 'San Francisco, CA 94109']}",La Folie,$$$$,4.5,1400,[],https://www.yelp.com/biz/la-folie-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.798136, -122.422036
marlowe-san-francisco-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'brasseries', 'title': 'Brasseries'}]",(415) 777-1413,https://s3-media3.fl.yelpcdn.com/bphoto/uweSiOf0XBB4BPk_ibHVyg/o.jpg,False,"{'address1': '500 Brannan St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['500 Brannan St', 'San Francisco, CA 94107']}",Marlowe,$$,4.0,2451,[],https://www.yelp.com/biz/marlowe-san-francisco-2?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7783200510611, -122.396771288052
good-mong-kok-bakery-san-francisco,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'cantonese', 'title': 'Cantonese'}]",(415) 397-2688,https://s3-media2.fl.yelpcdn.com/bphoto/Wndwx-kui0DexPf3rcwz_A/o.jpg,False,"{'address1': '1039 Stockton St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94108', 'country': 'US', 'state': 'CA', 'display_address': ['1039 Stockton St', 'San Francisco, CA 94108']}",Good Mong Kok Bakery,$,4.0,2092,[],https://www.yelp.com/biz/good-mong-kok-bakery-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.7954584839809, -122.408358365012
boulevard-san-francisco,"[{'alias': 'newamerican', 'title': 'American (New)'}]",(415) 543-6084,https://s3-media1.fl.yelpcdn.com/bphoto/lbxgYCYvMu1zNap7Wg741g/o.jpg,False,"{'address1': '1 Mission St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94105', 'country': 'US', 'state': 'CA', 'display_address': ['1 Mission St', 'San Francisco, CA 94105']}",Boulevard,$$$$,4.0,2491,[],https://www.yelp.com/biz/boulevard-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.79337, -122.39274
marufuku-ramen-san-francisco,"[{'alias': 'ramen', 'title': 'Ramen'}]",(415) 872-9786,https://s3-media2.fl.yelpcdn.com/bphoto/2lUFO5HWD7_RLDWlT5Nvuw/o.jpg,False,"{'address1': '1581 Webster St', 'address2': 'Ste 235', 'address3': None, 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['1581 Webster St', 'Ste 235', 'San Francisco, CA 94115']}",Marufuku Ramen,$$,4.5,1338,[],https://www.yelp.com/biz/marufuku-ramen-san-francisco?adjust_creative=ioub20NTtBEv50vfXOuW_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ioub20NTtBEv50vfXOuW_w, 37.785155, -122.432075
