Analysis Neighborhood,Block Address,ZIP Code,the_geom,Buyout Agreement Date,Buyout Amount,Number of Tenants
Bernal Heights,1300 Block of Shotwell Street,94110,"(37.747783872153, -122.414945488648)",5/8/15,"$32,000.00 ",4
Hayes Valley,600 Block of Broderick Street,94117,"(37.776170112288, -122.439818697118)",3/18/15,"$6,000.00 ",2
Noe Valley,100 Block of Valley Street,94131,"(37.744621476645, -122.425607962387)",12/11/15,"$54,000.00 ",2
Outer Richmond,3900 Block of Cabrillo Street,94121,"(37.773732167344, -122.50092850809)",7/7/15,"$30,000.00 ",1
Excelsior,200 Block of Munich Street,94112,"(37.721623443423, -122.426180850933)",5/11/15,"$21,000.00 ",7
Sunset/Parkside,1200 Block of 21st Avenue,94122,"(37.764412253173, -122.479263390059)",3/23/15,"$50,000.00 ",2
Sunset/Parkside,2900 Block of Pacheco Street,94116,"(37.7497693943, -122.49174457936)",5/14/15,"$25,000.00 ",3
Mission,1000 Block of South Van Ness Avenue,94110,"(37.756363299802, -122.416712100627)",7/6/15,"$310,000.00 ",3
North Beach,200 Block of Chestnut Street,94133,"(37.804410245586, -122.407535183782)",7/6/15,"$20,000.00 ",2
Noe Valley,400 Block of 27th Street,94131,"(37.746751152283, -122.430307966306)",3/31/15,"$25,000.00 ",1
Glen Park,0 Block of Lippard Avenue,94131,"(37.734322866472, -122.435628142523)",7/16/15,"$34,500.00 ",4
Marina,2500 Block of Gough Street,94123,"(37.796727515029, -122.427054808103)",8/21/15,"$134,500.00 ",4
Marina,2500 Block of Gough Street,94123,"(37.796727515029, -122.427054808103)",8/21/15,"$89,500.00 ",1
Marina,2500 Block of Gough Street,94123,"(37.796727515029, -122.427054808103)",8/18/15,"$94,500.00 ",2
Nob Hill,100 Block of Bernard Street,94109,"(37.796158959418, -122.415907056002)",7/15/15,"$30,000.00 ",3
Mission,1100 Block of Dolores Street,94110,"(37.750641531555, -122.424889976637)",8/14/15,"$10,000.00 ",3
Lone Mountain/USF,0 Block of Terra Vista Avenue,94115,"(37.781555311769, -122.442558983109)",6/25/15,"$3,000.00 ",2
Visitacion Valley,400 Block of Wilde Avenue,94134,"(37.717602514738, -122.406268256875)",6/8/15,"$5,551.00 ",1
Glen Park,500 Block of Chenery Street,94131,"(37.735093956148, -122.431073052252)",7/20/15,"$74,101.79 ",1
Castro/Upper Market,100 Block of Noe Street,94114,"(37.766257677745, -122.43336268257)",6/29/15,"$15,000.00 ",2
Marina,2400 Block of Franklin Street,94123,"(37.796936145829, -122.42541172011)",4/20/15,"$80,000.00 ",2
Sunset/Parkside,1600 Block of 42nd Avenue,94122,"(37.755939411982, -122.501380811213)",9/18/15,"$6,500.00 ",1
Western Addition,900 Block of Steiner Street,94117,"(37.777965130418, -122.433244710329)",4/22/15,"$20,000.00 ",2
Haight Ashbury,500 Block of Clayton Street,94117,"(37.770273091638, -122.448605047541)",7/6/15,"$50,400.00 ",1
Portola,900 Block of Somerset Street,94134,"(37.719940199255, -122.404844605055)",8/17/15,"$30,000.00 ",3
Bernal Heights,200 Block of Richland Avenue,94110,"(37.735797629099, -122.421662064611)",7/27/15,"$19,153.00 ",4
North Beach,200 Block of Chestnut Street,94133,"(37.804410245586, -122.407535183782)",6/8/16,"$22,212.80 ",2
Pacific Heights,1900 Block of Sacramento Street,94109,"(37.791032114342, -122.424992665272)",6/25/15,"$10,000.00 ",2
Inner Richmond,100 Block of 4th Avenue,94118,"(37.786020133702, -122.462424895675)",6/22/15,"$45,000.00 ",1
Outer Richmond,800 Block of 30th Avenue,94121,"(37.773262007287, -122.489540584596)",5/7/15,"$23,500.00 ",2
Noe Valley,500 Block of Diamond Street,94114,"(37.753945255702, -122.436632174786)",5/1/15,"$47,500.00 ",2
Castro/Upper Market,0 Block of States Street,94114,"(37.763410055069, -122.43906507197)",7/3/15,"$15,000.00 ",1
Mission,2700 Block of Bryant Street,94110,"(37.750404865685, -122.408832584317)",8/25/15,"$61,500.00 ",1
West of Twin Peaks,1600 Block of Ulloa Street,94116,"(37.741203834235, -122.473954646438)",8/7/15,"$14,102.00 ",1
Mission,1300 Block of Stevenson Street,94103,"(37.770783954072, -122.421596103325)",6/23/17,"$90,000.00 ",1
North Beach,400 Block of Vallejo Street,94133,"(37.799081056607, -122.40433193337)",6/29/15,"$27,422.00 ",2
Seacliff,100 Block of 26th Avenue,94121,"(37.786633001211, -122.486212276152)",7/20/15,"$53,000.00 ",2
Inner Richmond,400 Block of 9th Avenue,94118,"(37.779909746966, -122.467489929352)",6/1/15,"$4,000.00 ",1
Outer Richmond,500 Block of 42nd Avenue,94121,"(37.778293562996, -122.502945689316)",5/8/15,"$35,307.00 ",2
Noe Valley,1100 Block of Dolores Street,94110,"(37.750623761789, -122.425184893247)",9/15/15,"$80,000.00 ",1
Sunset/Parkside,1300 Block of 20th Avenue,94122,"(37.762580945494, -122.478195483323)",10/21/15,"$42,500.00 ",2
Mission,800 Block of Capp Street,94110,"(37.753099981063, -122.417500850902)",5/14/15,"$8,200.00 ",1
Mission,2700 Block of Harrison Street,94110,"(37.753425458254, -122.412042539296)",5/14/15,"$40,000.00 ",4
Mission,2700 Block of Harrison Street,94110,"(37.753425458254, -122.412042539296)",5/14/15,"$30,000.00 ",4
Mission,2700 Block of Harrison Street,94110,"(37.753425458254, -122.412042539296)",5/14/15,"$30,000.00 ",4
Marina,2500 Block of Union Street,94123,"(37.796301049938, -122.441245113872)",5/15/15,"$57,500.00 ",1
Mission,2800 Block of 25th Street,94110,"(37.751338291242, -122.407593099421)",8/3/15,"$75,000.00 ",2
Nob Hill,1000 Block of Bush Street,94109,"(37.789478817108, -122.414561132601)",7/20/15,"$15,000.00 ",1
Oceanview/Merced/Ingleside,100 Block of Harold Avenue,94112,"(37.720947545524, -122.453027122776)",5/19/15,"$30,000.00 ",1
Japantown,1400 Block of Gough Street,94109,"(37.786654741659, -122.42502102689)",8/25/15,"$23,500.00 ",2
Sunset/Parkside,2700 Block of 43rd Avenue,94116,"(37.735751595099, -122.501045149113)",11/16/15,"$70,000.00 ",5
West of Twin Peaks,0 Block of Mangels Avenue,94131,"(37.73302886687, -122.439285759409)",7/7/15,"$9,000.00 ",2
Bernal Heights,600 Block of Gates Street,94110,"(37.735349922553, -122.414330221442)",5/21/15,"$16,000.00 ",2
Bernal Heights,600 Block of Gates Street,94110,"(37.735349922553, -122.414330221442)",5/21/15,"$69,000.00 ",4
Sunset/Parkside,2400 Block of Pacheco Street,94116,"(37.75011586683, -122.486393944392)",5/27/15,"$24,500.00 ",4
Hayes Valley,200 Block of Laguna Street,94102,"(37.773424617787, -122.425721509672)",7/27/15,"$5,500.00 ",2
Pacific Heights,0 Block of Wilmot Street,94115,"(37.787536292438, -122.432720418419)",5/28/15,"$45,000.00 ",1
Noe Valley,400 Block of Clipper Street,94114,"(37.748883778371, -122.43496438899)",5/28/15,"$29,500.00 ",2
Nob Hill,1000 Block of Pine Street,94109,"(37.790513715726, -122.413080090072)",5/28/15,"$34,800.00 ",1
Outer Mission,0 Block of De Long Street,94112,"(37.709725787688, -122.458369928805)",8/21/15,"$18,000.00 ",4
Sunset/Parkside,1900 Block of 42nd Avenue,94116,"(37.750358698153, -122.500853405229)",8/27/15,"$60,000.00 ",2
Nob Hill,700 Block of Pine Street,94108,"(37.791092684394, -122.40850746111)",8/13/15,"$44,500.00 ",5
Castro/Upper Market,100 Block of Lower Terrace,94114,"(37.763328606751, -122.442889335285)",12/7/15,"$112,794.00 ",2
Castro/Upper Market,100 Block of Lower Terrace,94114,"(37.763328606751, -122.442889335285)",12/7/15,"$25,600.00 ",1
Inner Sunset,1700 Block of 11th Avenue,94122,"(37.75555326498, -122.467936193092)",8/11/15,"$14,000.00 ",2
Castro/Upper Market,2200 Block of 15th Street,94114,"(37.765739788651, -122.434358454096)",8/31/15,"$70,000.00 ",2
Castro/Upper Market,2200 Block of 15th Street,94114,"(37.765739788651, -122.434358454096)",8/31/15,"$70,000.00 ",1
Castro/Upper Market,2200 Block of 15th Street,94114,"(37.765739788651, -122.434358454096)",8/31/15,"$70,000.00 ",1
Inner Sunset,1200 Block of Willard Street,94117,"(37.76570791972, -122.454430157524)",9/21/15,"$49,276.00 ",2
Noe Valley,0 Block of Red Rock Way,94131,"(37.746036675352, -122.442196632259)",7/15/15,"$3,500.00 ",1
Castro/Upper Market,100 Block of Noe Street,94114,"(37.766257677745, -122.43336268257)",8/14/15,"$13,000.00 ",2
