business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,score,date,type,year,month,MA,formatted_name,formatted_address
95059, 95059 PORTABLES SAY HEY SAUSAGE,24 WILLIE MAYS PL SEC 114,San Francisco,CA,94107,,,14157735128,100.0,2018-03-26,routine,2018.0,3.0,100.0,95059 PORTABLES,24 WILLIE
4424, BON APPETIT @ USF- OUTTA HERE,2130 FULTON ST ,San Francisco,CA,94117,37.775117,-122.45206499999999,14154225849,94.0,2017-12-04,routine,2017.0,12.0,94.0,BON APPETIT,2130 FULTON
1674, NORDSTROM CAFE BISTRO,865 MARKET ST ,San Francisco,CA,94103,37.784317,-122.40756299999998,14159775154,96.0,2018-01-08,routine,2018.0,1.0,93.0,NORDSTROM CAFE,865 MARKET
37633,100% DESSERT CAFE,2512 CLEMENT ST ,San Francisco,CA,94121,37.781988,-122.48625200000001,14153097778,88.0,2018-06-22,routine,2018.0,6.0,85.0,100% DESSERT,2512 CLEMENT
65776,111 MINNA GALLERY,111 MINNA ST,San Francisco,CA,94105,37.787378000000004,-122.39945900000001,14159741719,100.0,2018-05-01,routine,2018.0,5.0,96.0,111 MINNA,111 MINNA
69691,1601 BAR & KITCHEN,1601 HOWARD ST ,San Francisco,CA,94103,,,14153906117,90.0,2018-05-31,routine,2018.0,5.0,84.0,1601 BAR,1601 HOWARD
95361,1608 BISTRO,1608 BUSH  ST,San Francisco,CA,94109,,,14159227887,79.0,2018-05-18,routine,2018.0,5.0,79.0,1608 BISTRO,1608 BUSH
4474,17TH & NOE MARKET,3900 17TH ST ,San Francisco,CA,94114,37.762638,-122.43324199999999,14158636337,96.0,2017-10-11,routine,2017.0,10.0,96.0,17TH &,3900 17TH
64717,18 REASONS,3674 18TH ST ,San Francisco,CA,94110,37.761497999999996,-122.425402,14152419760,92.0,2018-02-28,routine,2018.0,2.0,95.0,18 REASONS,3674 18TH
27350,18TH STREET COMMISSARY,3334 18TH ST ,San Francisco,CA,94110,37.761965000000004,-122.417948,,85.0,2018-06-20,routine,2018.0,6.0,84.0,18TH STREET,3334 18TH
62768,19TH AVE SHELL,1200 19TH AVE ,San Francisco,CA,94122,37.765421,-122.47725600000001,14156612276,90.0,2018-04-30,routine,2018.0,4.0,80.0,19TH AVE,1200 19TH
70856,"20 SPOT MISSION, LLC",3565 20TH ST ,San Francisco,CA,94110,,,14159350622,96.0,2018-05-10,routine,2018.0,5.0,93.0,20 SPOT,3565 20TH
73902,20TH CENTURY CAFE,198 GOUGH ST ,San Francisco,CA,94102,,,,94.0,2017-11-01,routine,2017.0,11.0,92.0,20TH CENTURY,198 GOUGH
71286,21 TASTE HOUSE,1109 OCEAN AVE ,San Francisco,CA,94112,37.723461,-122.454226,14159392233,90.0,2018-03-02,routine,2018.0,3.0,93.0,21 TASTE,1109 OCEAN
3397,21ST AMENDMENT BREWERY CAFE,563 02ND ST ,San Francisco,CA,94107,37.782364,-122.39266200000002,14157771400,94.0,2017-03-22,routine,2017.0,3.0,94.0,21ST AMENDMENT,563 02ND
83808,2227 IRVING SEAFOOD MARKET INC,2227 IRVING ST ,San Francisco,CA,94122,,,14152165212,82.0,2017-09-27,routine,2017.0,9.0,79.0,2227 IRVING,2227 IRVING
82232,"24 HOUR FITNESS CLUB, #273",3951 ALEMANY BLVD ,San Francisco,CA,94132,,,14159184746,96.0,2018-02-14,routine,2018.0,2.0,92.0,24 HOUR,3951 ALEMANY
7651,24 HR CONVENIENCE MKT,793 DIVISADERO ST ,San Francisco,CA,94117,37.776594,-122.438144,14155636118,100.0,2018-04-05,routine,2018.0,4.0,100.0,24 HR,793 DIVISADERO
7457,24TH STREET CHEESE COMPANY,3893 24TH ST ,San Francisco,CA,94114,37.751564,-122.429369,14158216658,96.0,2018-04-18,routine,2018.0,4.0,96.0,24TH STREET,3893 24TH
