business_name,category,lic_code,street_address,State,City,zipcode,business_start_date,business_end_date,neighborhoods,business_location,supervisor_district,Lifespan,closed,age_if_opened,formatted_address_x,formatted_name_x,uniqueid,full_address,business_id,name,MA,year,formatted_address_y,formatted_name_y,latitude,longitude
yokai express inc,Food Services,,135 4th st ste 4000,CA,San Francisco,94103.0,12/28/2017,,Financial District/South Beach,,6.0,,no,216.0,135 4th,yokai,yokai135 4th,"135 4th st ste 4000, San Francisco, CA, 94103.0",94310,yokai express,100.0,2018.0,135 4th,yokai,,
sizzling pot king,Food Services,"Restaurant 1,000 - 2,000 Sqft",139 8th st,CA,San Francisco,94103.0,12/28/2017,,South of Market,,6.0,,no,216.0,139 8th,sizzling,sizzling139 8th,"139 8th st, San Francisco, CA, 94103.0",94408,sizzling pot king,83.0,2018.0,139 8th,sizzling,,
burma super star restaurant,Food Services,"Restaurant 1,000 - 2,000 Sqft",309 clement st,CA,San Francisco,94118.0,03/01/2001,,Inner Richmond,"309 CLEMENT ST
San Francisco, CA 94118
(37.783046, -122.462531)",1.0,,no,6362.0,309 clement,burma,burma309 clement,"309 clement st, San Francisco, CA, 94118.0",1977,burma superstar restaurant,89.0,2017.0,309 clement,burma,37.783004,-122.462539
foundation cafe,Food Services,,645 5th st,CA,San Francisco,94107.0,12/15/2017,,,,,,no,229.0,645 5th,foundation,foundation645 5th,"645 5th st, San Francisco, CA, 94107.0",94387,foundation cafe,85.0,2018.0,645 5th,foundation,,
new york pizza kitchen,Food Services,,127 eddy st,CA,San Francisco,94102.0,03/16/2016,03/14/2017,,"127 EDDY ST
SAN FRANCISCO, CA 94102
(37.784302, -122.409745)",,363.0,yes,,127 eddy,new,new127 eddy,"127 eddy st, San Francisco, CA, 94102.0",91028,new york pizza kitchen,87.0,2018.0,127 eddy,new,,
new york pizza kitchen,Food Services,"Restaurant Less Than 1,000 Sqft",127 eddy st,CA,San Francisco,94102.0,03/14/2017,,,,,,no,505.0,127 eddy,new,new127 eddy,"127 eddy st, San Francisco, CA, 94102.0",91028,new york pizza kitchen,87.0,2018.0,127 eddy,new,,
corner bakery cafe #1584,Food Services,Places Of Public Assembly & Open-Air Assembly,665 market st,CA,San Francisco,94105.0,05/01/2015,,,,,,no,1188.0,665 market,corner,corner665 market,"665 market st, San Francisco, CA, 94105.0",83327,corner bakery cafe #1584,96.0,2017.0,665 market,corner,,
corner bakery cafe #106,Food Services,,665 market st,CA,San Francisco,94105.0,07/08/2014,04/30/2015,,"665 MARKET ST
SAN FRANCISCO, CA 94105
(37.788119, -122.402854)",,296.0,yes,,665 market,corner,corner665 market,"665 market st, San Francisco, CA, 94105.0",83327,corner bakery cafe #1584,96.0,2017.0,665 market,corner,,
corner bakery cafe #106,Food Services,,665 market st,CA,San Francisco,94105.0,05/01/2015,,,"665 MARKET ST
SAN FRANCISCO, CA 94105
(37.788119, -122.402854)",,,no,1188.0,665 market,corner,corner665 market,"665 market st, San Francisco, CA, 94105.0",83327,corner bakery cafe #1584,96.0,2017.0,665 market,corner,,
sorrel restaurant,Food Services,Multiple,3228 sacramento st,CA,San Francisco,94115.0,01/01/2018,,,,,,no,212.0,3228 sacramento,sorrel,sorrel3228 sacramento,"3228 sacramento st, San Francisco, CA, 94115.0",94604,sorrel restaurant,93.0,2018.0,3228 sacramento,sorrel,,
