accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"1200 Van Ness Ave 3RD FLOOR, San Francisco, CA 94109, USA",EjozUkQgRkxPT1IsIDEyMDAgVmFuIE5lc3MgQXZlLCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEwOSwgVVNBIiUaIwoWChQKEgnXVko0lICFgBGeCJV9l5cD-BIJM1JEIEZMT09S,"1200 VAN NESS AVE, 3RD FLOOR",37.7867765,-122.4213349,1,94109,OK,subpremise
ROOFTOP,"500 California St 2ND  FLOOR, San Francisco, CA 94104, USA",EjsyTkQgIEZMT09SLCA1MDAgQ2FsaWZvcm5pYSBTdCwgU2FuIEZyYW5jaXNjbywgQ0EgOTQxMDQsIFVTQSImGiQKFgoUChIJmSlZQ4qAhYARxuNFB_DIT7ISCjJORCAgRkxPT1I,"500 CALIFORNIA ST, 2ND  FLOOR",37.7931232,-122.4031008,1,94104,OK,subpremise
ROOFTOP,"2801 Leavenworth St, San Francisco, CA 94133, USA",ChIJu2t7buGAhYARabsFEzVXIqw,2801 LEAVENWORTH ST ,37.8070209,-122.4193841,2,94133,OK,premise
ROOFTOP,"3202 Folsom St, San Francisco, CA 94110, USA",ChIJARWKcUV-j4ARfAqXO018-80,3202 FOLSOM ST ,37.7471041,-122.4138313,2,94110,OK,premise
ROOFTOP,"747 Irving St, San Francisco, CA 94122, USA",ChIJE9-qSVyHhYARqRpbrJ9rHlA,747 IRVING ST ,37.763933,-122.4660473,2,94122,OK,street_address
ROOFTOP,"2180 Post St, San Francisco, CA 94115, USA",ChIJr4ki0LeAhYAR6Px5rlocELU,2180 POST ST ,37.7847907,-122.4376589,1,94115,OK,street_address
ROOFTOP,"1799 Church St, San Francisco, CA 94131, USA",ChIJY9tFZGh-j4ARArfV4n60z4k,1799 CHURCH ST ,37.7423043,-122.4263855,2,94131,OK,street_address
ROOFTOP,"91 Drumm St, San Francisco, CA 94111, USA",ChIJO1gyR2GAhYAR-IKV2ZpeDLI,91 DRUMM ST ,37.7944258,-122.396795,1,94111,OK,street_address
GEOMETRIC_CENTER,"Beach St & The Embarcadero, San Francisco, CA 94133, United States",ChIJHSGzi_yAhYARnrPmDWAx9ro,PIER 39  SPACE A3,37.808673,-122.409821,1,94133,OK,"establishment,point_of_interest,premise,shopping_mall"
ROOFTOP,"1800 Irving St, San Francisco, CA 94122, USA",ChIJky__fW-HhYARYrD_TQGh1JE,1800 IRVING ST ,37.7637484,-122.4774545,2,94122,OK,street_address
ROOFTOP,"3248 22nd St, San Francisco, CA 94110, USA",ChIJsfQS4D5-j4AR67FfPj4qTi0,3248 22ND ST ,37.7554792,-122.4197712,1,94110,OK,street_address
ROOFTOP,"2101 S Fillmore St, Little Rock, AR 72204, USA",ChIJF24veYyk0ocRn3pvq3Knx9U,2101 FILLMORE ST ,34.7327885,-92.3367816,7,72204,OK,premise
ROOFTOP,"500 California St 3RD FLOOR, San Francisco, CA 94104, USA",EjozUkQgRkxPT1IsIDUwMCBDYWxpZm9ybmlhIFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEwNCwgVVNBIiUaIwoWChQKEgmZKVlDioCFgBHG40UH8MhPshIJM1JEIEZMT09S,"500 CALIFORNIA ST, 3RD FLOOR",37.7931232,-122.4031008,1,94104,OK,subpremise
ROOFTOP,"500 California St, San Francisco, CA 94104, USA",ChIJmSlZQ4qAhYARxuNFB_DIT7I,"500 CALIFORNIA ST, BASEMENT",37.7931232,-122.4031008,1,94104,OK,premise
ROOFTOP,"Kendrick Hall, 2199 Fulton St, San Francisco, CA 94117, USA",ChIJXem2JkyHhYARy8F2lUCuCtY,2199 FULTON ST ,37.7748092,-122.4523893,1,94117,OK,premise
ROOFTOP,"2350 Turk St, San Francisco, CA 94118, USA",ChIJ99RhE0uHhYARaPSJY7rXmmA,2350 TURK BLVD ,37.778863,-122.4485051,1,94118,OK,premise
ROOFTOP,"1435 17th St, San Francisco, CA 94107, USA",ChIJEXAeY8x_j4ARdxbNUqjY2Zk,1435 17TH ST ,37.7649508,-122.398402,10,94107,OK,street_address
ROOFTOP,"419 Cortland Ave, San Francisco, CA 94110, USA",ChIJB82iWFl-j4ARM5OVPMqmUJ8,419 CORTLAND AVE ,37.7393226,-122.4174595,1,94110,OK,premise
ROOFTOP,"754 Columbus Ave, San Francisco, CA 94133, USA",ChIJtbqrIvCAhYARLrAnTzv3rP4,754 COLUMBUS AVE ,37.8017638,-122.4120392,2,94133,OK,street_address
ROOFTOP,"779 Clay St, San Francisco, CA 94108, USA",ChIJ1_TsQYuAhYARqnea3EPg6EI,779 CLAY ST ,37.7941708,-122.4059607,1,94108,OK,"establishment,food,point_of_interest,restaurant"
ROOFTOP,"1099 Powell St, San Francisco, CA 94108, USA",ChIJgXnf1_KAhYARpqPdtVgFG-M,1099 POWELL ST ,37.7946498,-122.4099156,2,94108,OK,street_address
ROOFTOP,"542 Mason St, San Francisco, CA 94102, USA",ChIJWTdQfY6AhYARnZE3yG-zwZ4,542A MASON ST ,37.7887427,-122.410026,1,94102,OK,premise
ROOFTOP,"900 Pine St, Philadelphia, PA 19107, USA",ChIJIQ1rIyfGxokRJ5YQ2vhA_4w,900 PINE ST,39.944297,-75.156835,1,19107,OK,street_address
GEOMETRIC_CENTER,"Pier 7, San Francisco, CA 94105, USA",ChIJIaJ44V2AhYARvHLLJC9FK7A,PIER 7 EMBARCADERO,37.7986725,-122.3968247,1,94105,OK,route
ROOFTOP,"431 Bush St, San Francisco, CA 94108, USA",ChIJkWXne4mAhYARUdWfVNQe8d4,431 BUSH ST ,37.7905667,-122.4047035,1,94108,OK,street_address
ROOFTOP,"391 Broadway, New York, NY 10013, USA",ChIJXSxZeIpZwokRz198cMPvGR8,391 BROADWAY ST ,40.7184969,-74.0029971,2,10013,OK,premise
ROOFTOP,"400 McAllister St, San Francisco, CA 94102, USA",ChIJsYmj7JmAhYARZIYaZ9AetTA,400 MCALLISTER ST,37.7805277,-122.4192514,1,94102,OK,premise
ROOFTOP,"300 California St, San Francisco, CA 94104, USA",ChIJjY3_wWGAhYAROXugS3EXKPM,300 CALIFORNIA ST ,37.7934926,-122.4004457,1,94104,OK,premise
ROOFTOP,"2435 California St, San Francisco, CA 94115, USA",ChIJu4X2zseAhYARcNfOuw-YOT0,2435 CALIFORNIA ST ,37.7885472,-122.434559,2,94115,OK,premise
ROOFTOP,"3227 16th St, San Francisco, CA 94103, USA",ChIJu5gNmBh-j4ARGXKYuUupH9w,3227 16TH ST ,37.7646507,-122.4247319,2,94103,OK,street_address
ROOFTOP,"256 Divisadero St, San Francisco, CA 94117, USA",ChIJMRojNa-AhYARrWdjOdDElYo,256 DIVISADERO ST ,37.7715412,-122.4368793,2,94117,OK,street_address
ROOFTOP,"609 Cole St, San Francisco, CA 94117, USA",ChIJy-JftlOHhYARgqQs1rNGjWg,609 COLE ST ,37.7692677,-122.450948,2,94117,OK,street_address
ROOFTOP,"50 Post St 3RD FLOOR, San Francisco, CA 94104, USA",EjMzUkQgRkxPT1IsIDUwIFBvc3QgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTA0LCBVU0EiJRojChYKFAoSCUOAoUqIgIWAERA-0x1JgexqEgkzUkQgRkxPT1I,"50 POST ST, 3RD FLOOR",37.7891638,-122.4029793,1,94104,OK,subpremise
ROOFTOP,"1109 Valencia St, San Francisco, CA 94110, USA",ChIJS4LJ_T5-j4ARvV2kIaFETVU,1109 VALENCIA ST,37.7551228,-122.4208104,1,94110,OK,street_address
ROOFTOP,"San Francisco State University, 750 Font Blvd, San Francisco, CA 94132, USA",ChIJYb_KlK99j4ARyYAISBM7D9Q,"750 FONT, BLDG B BLVD ",37.7232694,-122.4821486,1,94132,OK,"establishment,point_of_interest,university"
,,,299 02ND ST ,,,0,,ZERO_RESULTS,
