business_id,name,score,year,formatted_address,formatted_name
19,NRGIZE LIFESTYLE CAFE,94.0,2017.0,"1200 Van Ness Ave 3RD FLOOR, San Francisco, CA 94109, USA",nrgize
19,NRGIZE LIFESTYLE CAFE,96.0,2018.0,"1200 Van Ness Ave 3RD FLOOR, San Francisco, CA 94109, USA",nrgize
19,NRGIZE LIFESTYLE CAFE,94.0,2016.0,"1200 Van Ness Ave 3RD FLOOR, San Francisco, CA 94109, USA",nrgize
24,OMNI S.F. HOTEL - 2ND FLOOR PANTRY,96.0,2016.0,"500 California St 2ND  FLOOR, San Francisco, CA 94104, USA",omni
24,OMNI S.F. HOTEL - 2ND FLOOR PANTRY,98.0,2016.0,"500 California St 2ND  FLOOR, San Francisco, CA 94104, USA",omni
24,OMNI S.F. HOTEL - 2ND FLOOR PANTRY,98.0,2017.0,"500 California St 2ND  FLOOR, San Francisco, CA 94104, USA",omni
31,NORMAN'S ICE CREAM AND FREEZES,98.0,2015.0,"2801 Leavenworth St, San Francisco, CA 94133, USA",norman's
31,NORMAN'S ICE CREAM AND FREEZES,96.0,2018.0,"2801 Leavenworth St, San Francisco, CA 94133, USA",norman's
1442,WATERFRONT BAKERY,85.0,2016.0,"2801 Leavenworth St, San Francisco, CA 94133, USA",waterfront
1442,WATERFRONT BAKERY,94.0,2018.0,"2801 Leavenworth St, San Francisco, CA 94133, USA",waterfront
1442,WATERFRONT BAKERY,94.0,2017.0,"2801 Leavenworth St, San Francisco, CA 94133, USA",waterfront
3325,JACKS CANNERY,96.0,2017.0,"2801 Leavenworth St, San Francisco, CA 94133, USA",jacks
3325,JACKS CANNERY,77.0,2016.0,"2801 Leavenworth St, San Francisco, CA 94133, USA",jacks
3325,JACKS CANNERY,83.0,2016.0,"2801 Leavenworth St, San Francisco, CA 94133, USA",jacks
45,CHARLIE'S DELI CAFE,85.0,2017.0,"3202 Folsom St, San Francisco, CA 94110, USA",charlie's
45,CHARLIE'S DELI CAFE,88.0,2018.0,"3202 Folsom St, San Francisco, CA 94110, USA",charlie's
45,CHARLIE'S DELI CAFE,84.0,2016.0,"3202 Folsom St, San Francisco, CA 94110, USA",charlie's
45,CHARLIE'S DELI CAFE,88.0,2017.0,"3202 Folsom St, San Francisco, CA 94110, USA",charlie's
45,CHARLIE'S DELI CAFE,78.0,2016.0,"3202 Folsom St, San Francisco, CA 94110, USA",charlie's
48,ART'S CAFE,94.0,2016.0,"747 Irving St, San Francisco, CA 94122, USA",art's
48,ART'S CAFE,94.0,2018.0,"747 Irving St, San Francisco, CA 94122, USA",art's
54,RHODA GOLDMAN PLAZA,87.0,2017.0,"2180 Post St, San Francisco, CA 94115, USA",rhoda
54,RHODA GOLDMAN PLAZA,94.0,2018.0,"2180 Post St, San Francisco, CA 94115, USA",rhoda
56,CAFE X + O,88.0,2015.0,"1799 Church St, San Francisco, CA 94131, USA",cafe
56,CAFE X + O,92.0,2017.0,"1799 Church St, San Francisco, CA 94131, USA",cafe
56,CAFE X + O,98.0,2018.0,"1799 Church St, San Francisco, CA 94131, USA",cafe
56,CAFE X + O,90.0,2016.0,"1799 Church St, San Francisco, CA 94131, USA",cafe
58,OASIS GRILL,73.0,2016.0,"91 Drumm St, San Francisco, CA 94111, USA",oasis
58,OASIS GRILL,70.0,2017.0,"91 Drumm St, San Francisco, CA 94111, USA",oasis
69962,HONG KEE & KIM,86.0,2017.0,"91 Drumm St, San Francisco, CA 94111, USA",hong
69962,HONG KEE & KIM,75.0,2016.0,"91 Drumm St, San Francisco, CA 94111, USA",hong
61,CHOWDERS,94.0,2016.0,"Beach St & The Embarcadero, San Francisco, CA 94133, United States",chowders
61,CHOWDERS,94.0,2017.0,"Beach St & The Embarcadero, San Francisco, CA 94133, United States",chowders
61,CHOWDERS,98.0,2017.0,"Beach St & The Embarcadero, San Francisco, CA 94133, United States",chowders
61,CHOWDERS,92.0,2015.0,"Beach St & The Embarcadero, San Francisco, CA 94133, United States",chowders
66,STARBUCKS COFFEE,96.0,2017.0,"1800 Irving St, San Francisco, CA 94122, USA",starbucks
66,STARBUCKS COFFEE,100.0,2015.0,"1800 Irving St, San Francisco, CA 94122, USA",starbucks
66,STARBUCKS COFFEE,98.0,2016.0,"1800 Irving St, San Francisco, CA 94122, USA",starbucks
66,STARBUCKS COFFEE,100.0,2016.0,"1800 Irving St, San Francisco, CA 94122, USA",starbucks
66,STARBUCKS COFFEE,98.0,2018.0,"1800 Irving St, San Francisco, CA 94122, USA",starbucks
67,REVOLUTION CAFE,81.0,2017.0,"3248 22nd St, San Francisco, CA 94110, USA",revolution
67,REVOLUTION CAFE,88.0,2018.0,"3248 22nd St, San Francisco, CA 94110, USA",revolution
67,REVOLUTION CAFE,94.0,2016.0,"3248 22nd St, San Francisco, CA 94110, USA",revolution
