business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,score,date,type,year,month
95059, 95059 PORTABLES SAY HEY SAUSAGE,24 WILLIE MAYS PL SEC 114,San Francisco,CA,94107,,,14157735128,100.0,2018-03-26,routine,2018.0,3.0
4424, BON APPETIT @ USF- OUTTA HERE,2130 FULTON ST ,San Francisco,CA,94117,37.775117,-122.45206499999999,14154225849,94.0,2017-12-04,routine,2017.0,12.0
93539, MAGNOLIA BREWING COMPANY,1398 HAIGHT ST ,San Francisco,CA,94117,,,14153700349,,,,,
1674, NORDSTROM CAFE BISTRO,865 MARKET ST ,San Francisco,CA,94103,37.784317,-122.40756299999998,14159775154,82.0,2016-04-29,routine,2016.0,4.0
1674, NORDSTROM CAFE BISTRO,865 MARKET ST ,San Francisco,CA,94103,37.784317,-122.40756299999998,14159775154,87.0,2016-10-21,routine,2016.0,10.0
1674, NORDSTROM CAFE BISTRO,865 MARKET ST ,San Francisco,CA,94103,37.784317,-122.40756299999998,14159775154,90.0,2017-06-28,routine,2017.0,6.0
1674, NORDSTROM CAFE BISTRO,865 MARKET ST ,San Francisco,CA,94103,37.784317,-122.40756299999998,14159775154,96.0,2018-01-08,routine,2018.0,1.0
95693, SALSA 4 ALL SEASONS,1 UNITED NATIONS PL ,San Francisco,CA,94102,,,14156877111,,,,,
37633,100% DESSERT CAFE,2512 CLEMENT ST ,San Francisco,CA,94121,37.781988,-122.48625200000001,14153097778,72.0,2016-05-19,routine,2016.0,5.0
37633,100% DESSERT CAFE,2512 CLEMENT ST ,San Francisco,CA,94121,37.781988,-122.48625200000001,14153097778,82.0,2017-03-28,routine,2017.0,3.0
37633,100% DESSERT CAFE,2512 CLEMENT ST ,San Francisco,CA,94121,37.781988,-122.48625200000001,14153097778,88.0,2018-06-22,routine,2018.0,6.0
65776,111 MINNA GALLERY,111 MINNA ST,San Francisco,CA,94105,37.787378000000004,-122.39945900000001,14159741719,92.0,2017-01-26,routine,2017.0,1.0
65776,111 MINNA GALLERY,111 MINNA ST,San Francisco,CA,94105,37.787378000000004,-122.39945900000001,14159741719,100.0,2018-05-01,routine,2018.0,5.0
68597,12 TRIBES KOSHER FOODS,3200 CALIFORNIA ST ,San Francisco,CA,94118,37.787310999999995,-122.44683899999998,14158008594,,,,,
79117,1428 HAIGHT,1428 HAIGHT ST ,San Francisco,CA,94117,,,14158648484,,,,,
69691,1601 BAR & KITCHEN,1601 HOWARD ST ,San Francisco,CA,94103,,,14153906117,89.0,2016-03-11,routine,2016.0,3.0
69691,1601 BAR & KITCHEN,1601 HOWARD ST ,San Francisco,CA,94103,,,14153906117,78.0,2017-07-25,routine,2017.0,7.0
69691,1601 BAR & KITCHEN,1601 HOWARD ST ,San Francisco,CA,94103,,,14153906117,90.0,2018-05-31,routine,2018.0,5.0
95361,1608 BISTRO,1608 BUSH  ST,San Francisco,CA,94109,,,14159227887,79.0,2018-05-18,routine,2018.0,5.0
75044,1760,1760 POLK ST ,San Francisco,CA,,,,14155675432,88.0,2015-12-17,routine,2015.0,12.0
75044,1760,1760 POLK ST ,San Francisco,CA,,,,14155675432,96.0,2016-10-12,routine,2016.0,10.0
75044,1760,1760 POLK ST ,San Francisco,CA,,,,14155675432,94.0,2018-03-13,routine,2018.0,3.0
4474,17TH & NOE MARKET,3900 17TH ST ,San Francisco,CA,94114,37.762638,-122.43324199999999,14158636337,96.0,2016-09-12,routine,2016.0,9.0
4474,17TH & NOE MARKET,3900 17TH ST ,San Francisco,CA,94114,37.762638,-122.43324199999999,14158636337,96.0,2017-10-11,routine,2017.0,10.0
64717,18 REASONS,3674 18TH ST ,San Francisco,CA,94110,37.761497999999996,-122.425402,14152419760,98.0,2015-10-19,routine,2015.0,10.0
64717,18 REASONS,3674 18TH ST ,San Francisco,CA,94110,37.761497999999996,-122.425402,14152419760,92.0,2018-02-28,routine,2018.0,2.0
