,formatted_address,input_string,latitude,longitude,name,number_of_results,price_level,rating,status
0,"135 4th St, San Francisco, CA 94103, USA",yokai express inc,37.7842717,-122.4031587,Yo-Kai Express @ Metreon,1,,4.0,OK
1,"139 8th St, San Francisco, CA 94103, USA",sizzling pot king,37.7771722,-122.412601,Sizzling Pot King,1,2.0,4.3,OK
2,"309 Clement St, San Francisco, CA 94118, USA",burma super star restaurant,37.7829353,-122.4625589,Burma Superstar,1,2.0,4.5,OK
3,"335 Kearny St, San Francisco, CA 94108, USA",foundation cafe,37.7912868,-122.4043555,Foundation Cafe,1,1.0,4.3,OK
4,"127 Eddy St, San Francisco, CA 94102, USA",new york pizza kitchen,37.784192,-122.409762,New York Pizza Kitchen,1,1.0,3.8,OK
5,,corner bakery cafe #1584,,,,0,,,REQUEST_DENIED
6,"3228 Sacramento St, San Francisco, CA 94115, USA",sorrel restaurant,37.7885614,-122.4461881,Sorrel,1,3.0,4.7,OK
7,"50 Post St #65A, San Francisco, CA 94104, USA",braised + bread,37.7891638,-122.4029793,Braised + Bread,1,,4.0,OK
8,"167 11th St, San Francisco, CA 94103, USA",joint venture kitchen,37.773813,-122.4160416,Joint Venture Kitchen,1,,0.0,OK
9,"393 Bay St, San Francisco, CA 94133, USA",there sushibar  restaurant,37.805472,-122.4134109,There Sushi Bar & Restaurant,1,1.0,4.2,OK
10,"598 Chenery St, San Francisco, CA 94131, USA",native baking company,37.7346593,-122.4323038,Destination Baking Company,1,,4.6,OK
11,"1 Embarcadero Center, San Francisco, CA 94111, USA",the melt,37.7944019,-122.3992911,The Melt Embarcadero,2,1.0,4.0,OK
12,"Pier 33, San Francisco, CA 94133, USA",alcatraz landing cafe,37.8066212,-122.4050043,Alcatraz Landing Cafe,1,,2.8,OK
13,,tenroku ramen #2,,,,0,,,REQUEST_DENIED
14,"2241 Judah St, San Francisco, CA 94122, USA",yan yan seafood resaurant,37.7611734,-122.4863484,Yan Yan Seafood Restaurant,1,,3.9,OK
15,"529 Stevenson St, San Francisco, CA 94103, USA",the grilledcheezguy llc,37.7811359,-122.410358,The GrilledCheezGuy,1,,4.4,OK
16,"340 Grove St, San Francisco, CA 94102, USA",simply cafe,37.7781134,-122.422152,Simply Cafe,1,1.0,4.7,OK
17,"1031 Ocean Ave, San Francisco, CA 94112, USA",orchids cafe,37.7231141,-122.4536903,Orchids Cafe,1,,4.3,OK
18,"517 Castro St, San Francisco, CA 94114, USA",the sausage factory,37.7605104,-122.434702,The Sausage Factory,1,2.0,4.2,OK
19,"1018 Taraval, San Francisco, CA 94116, USA",mr bread,37.7431851,-122.4772686,Mr Bread Bakery,1,1.0,4.5,OK
20,"4609 Mission St, San Francisco, CA 94112, USA",babys eatery and palabok,37.724433,-122.4347249,Baby's Eatery & Palabok,1,,4.3,OK
21,"1101 Geary Blvd, San Francisco, CA 94109, USA",tommys joynt,37.785519,-122.421811,Tommy's Joynt,1,1.0,4.4,OK
22,"2801 Leavenworth St, San Francisco, CA 94133, USA",jacks bar,37.8075845,-122.4196403,Jack's Cannery Bar,2,1.0,3.7,OK
23,"1425, 406 Dewey Blvd, San Francisco, CA 94116, United States",sushi shoh,37.747415,-122.459591,Sushi Shoh,1,2.0,4.5,OK
24,"331 Cortland Ave, San Francisco, CA 94110, USA",peaches patties llc,37.7393606,-122.4180022,Peaches Patties,1,,4.2,OK
25,"331 Cortland Ave, San Francisco, CA 94110, USA",peaches patties llc,37.7393606,-122.4180022,Peaches Patties,1,,4.2,OK
26,"941 Kearny St, San Francisco, CA 94133, USA",toppu ramen  dim sum house,37.7966798,-122.4054378,Toppu,1,,3.9,OK
27,"555 California St, San Francisco, CA 94104, USA",poke bar,37.7920903,-122.4036761,Poke Bar,1,,5.0,OK
28,"79 New Montgomery St, San Francisco, CA 94105, USA",academy of arts univ,37.7879584,-122.4004678,Academy of Art University,1,,3.6,OK
29,"900 North Point St k201, San Francisco, CA 94109, USA",the cheese school,37.805875,-122.422954,The Cheese School of San Francisco,1,,4.9,OK
30,"1419 Haight St, San Francisco, CA 94117, USA",peoples bistro,37.7700007,-122.4457826,People's Bistro,1,2.0,4.2,OK
