business_name,latitude,longitude,Q1_16_Nature_Exp,Q2_16_Nature_Exp,Q3_16_Nature_Exp,Q4_16_Nature_Exp,Q1_17_Nature_Exp,Q2_17_Nature_Exp,Q3_17_Nature_Exp,Q4_17_Nature_Exp,Q1_16_Family_Fun,Q2_16_Family_Fun,Q3_16_Family_Fun,Q4_16_Family_Fun,Q1_17_Family_Fun,Q2_17_Family_Fun,Q3_17_Family_Fun,Q4_17_Family_Fun,Q1_16_Healthy_Lifestyle,Q2_16_Healthy_Lifestyle,Q3_16_Healthy_Lifestyle,Q4_16_Healthy_Lifestyle,Q1_17_Healthy_Lifestyle,Q2_17_Healthy_Lifestyle,Q3_17_Healthy_Lifestyle,Q4_17_Healthy_Lifestyle,Q1_16_Nightlife_Hotspot,Q2_16_Nightlife_Hotspot,Q3_16_Nightlife_Hotspot,Q4_16_Nightlife_Hotspot,Q1_17_Nightlife_Hotspot,Q2_17_Nightlife_Hotspot,Q3_17_Nightlife_Hotspot,Q4_17_Nightlife_Hotspot,Q1_16_Artsy,Q2_16_Artsy,Q3_16_Artsy,Q4_16_Artsy,Q1_17_Artsy,Q2_17_Artsy,Q3_17_Artsy,Q4_17_Artsy,Q1_16_Foodie,Q2_16_Foodie,Q3_16_Foodie,Q4_16_Foodie,Q1_17_Foodie,Q2_17_Foodie,Q3_17_Foodie,Q4_17_Foodie,Q1_16_Hipster,Q2_16_Hipster,Q3_16_Hipster,Q4_16_Hipster,Q1_17_Hipster,Q2_17_Hipster,Q3_17_Hipster,Q4_17_Hipster,Q1_16_Beautiful_Scenery,Q2_16_Beautiful_Scenery,Q3_16_Beautiful_Scenery,Q4_16_Beautiful_Scenery,Q1_17_Beautiful_Scenery,Q2_17_Beautiful_Scenery,Q3_17_Beautiful_Scenery,Q4_17_Beautiful_Scenery
yokai express inc,37.7843318,-122.40336629999999,75.21,70.07,78.64,78.4,76.84,78.54,77.2,76.04,80.0,81.09,80.0,89.56,82.78,80.48,80.43,88.41,87.12,90.08,88.76,90.19,90.57,91.37,86.3,87.47,95.05,94.41,95.5,96.57,95.66,95.55,95.73,94.91,95.61,95.29,96.84,97.2,96.47,96.76,95.38,95.46,75.13,77.96,76.5,79.31,78.93,80.0,74.37,69.95,81.41,87.8,90.54,91.0,88.77,88.67,87.33,86.52,80.0,80.3,88.35,80.3,79.66,80.0,79.73,74.86
sizzling pot king,37.7771722,-122.412601,59.59,55.53,70.6,75.68,68.91,69.73,58.6,62.93,76.03,76.54,76.63,77.24,77.32,76.65,77.77,78.29,83.98,86.49,86.81,88.09,86.62,86.96,83.88,84.58,93.8,94.01,94.44,95.87,94.99,95.36,93.78,94.39,96.07,96.18,97.74,98.17,97.38,97.16,96.85,96.34,70.71,70.29,72.67,73.42,78.48,78.8,70.57,62.06,93.41,90.83,93.59,95.25,94.91,95.61,90.78,91.34,48.81,44.99,44.9,38.12,43.44,30.95,35.42,38.21
burma super star restaurant,37.783004,-122.46253899999999,70.52,70.45,76.45,76.02,74.59,73.92,73.2,70.7,56.93,55.03,64.74,63.65,57.9,60.42,67.48,61.16,62.52,67.85,70.53,69.05,69.42,71.44,67.83,64.09,46.53,50.66,57.73,52.15,53.62,65.47,46.94,50.49,72.53,72.38,76.26,76.14,75.81,74.7,75.8,70.1,66.24,73.88,79.94,79.94,79.84,80.0,76.4,59.28,50.19,54.59,47.76,44.4,63.65,64.93,41.01,23.26,0.91,0.95,3.9,0.98,1.06,0.93,0.94,1.22
foundation cafe,37.776840299999996,-122.397702,73.48,71.99,78.57,78.8,74.81,78.97,79.03,74.61,68.35,75.62,78.99,73.53,69.08,77.17,73.32,72.56,87.39,90.19,89.43,89.95,88.67,89.92,88.04,87.13,80.88,83.98,87.38,88.55,88.55,86.71,86.76,87.12,90.23,90.45,91.31,92.18,91.79,91.79,90.54,90.15,65.65,65.91,70.73,75.6,68.62,79.27,71.8,53.68,77.45,79.32,79.99,79.91,79.9,79.97,79.14,78.77,18.26,18.09,24.75,27.42,17.0,25.1,20.34,21.68
new york pizza kitchen,37.7841852,-122.40976809999998,58.87,57.91,76.69,76.08,71.83,74.92,59.44,66.28,74.42,77.61,78.15,79.37,76.46,76.82,77.36,78.18,85.27,86.59,84.74,87.77,85.84,88.19,82.56,84.48,96.23,96.25,96.98,97.67,96.75,97.17,97.07,96.46,96.04,96.03,97.76,97.8,97.02,96.95,96.27,96.26,75.21,78.72,79.51,79.35,79.41,80.0,76.73,73.73,89.1,87.57,92.5,95.57,91.92,92.63,89.09,84.8,67.69,78.21,75.89,77.29,77.06,69.04,58.59,56.7
corner bakery cafe #1584,37.7880302,-122.4026327,70.32,69.11,77.28,74.82,73.4,76.96,72.01,73.45,78.83,78.33,79.32,79.98,79.41,78.31,79.37,79.94,92.07,93.16,92.9,93.75,94.77,95.74,91.73,91.9,94.61,94.55,95.16,96.51,95.35,95.57,96.07,94.67,95.03,94.09,96.19,96.75,96.23,95.98,94.67,94.89,75.65,79.59,79.03,79.74,79.73,80.05,77.24,73.48,80.0,84.91,88.76,88.66,86.12,84.63,84.79,80.97,80.0,80.0,85.28,80.0,80.0,83.76,79.89,79.74
sorrel restaurant,37.7885505,-122.44621509999999,43.9,47.21,59.65,49.28,54.81,51.2,54.2,44.32,56.91,58.87,65.8,66.53,62.62,58.53,57.16,61.53,77.69,78.7,79.92,78.71,79.56,79.73,79.17,78.31,58.55,63.65,62.48,63.79,63.94,67.99,60.51,58.78,72.77,73.69,75.4,77.34,76.62,77.63,76.33,75.44,53.93,49.17,70.13,70.94,63.63,69.28,65.86,48.21,56.13,59.42,63.33,60.8,55.49,67.01,63.23,57.16,11.56,18.19,18.74,18.07,17.89,18.4,18.42,18.29
braised + bread,37.7891638,-122.40297930000001,67.99,69.26,77.04,73.85,72.15,77.01,69.96,73.46,77.56,75.54,78.44,79.5,78.59,76.92,77.57,79.11,92.32,93.87,92.97,93.96,94.98,96.28,92.33,92.37,94.31,94.27,94.89,96.32,94.9,95.25,95.94,94.22,94.12,93.04,95.72,96.06,95.81,95.44,93.81,94.04,75.09,79.7,79.26,79.76,79.69,81.16,78.02,74.18,80.0,81.32,87.67,87.04,85.16,82.86,82.25,80.0,79.88,79.93,80.0,80.0,79.89,80.0,79.67,79.75
joint venture kitchen,37.7737561,-122.41605829999999,62.72,60.81,69.89,76.75,69.29,70.46,64.37,64.84,73.88,71.75,72.17,73.19,72.2,73.54,75.18,76.4,81.58,84.93,85.65,85.8,84.3,84.73,82.1,80.83,91.75,92.95,93.78,95.72,94.26,94.7,92.69,93.24,95.36,95.47,97.0,97.14,96.72,96.36,95.99,95.4,70.49,69.9,72.95,76.12,78.89,79.31,70.8,62.37,91.09,89.23,93.31,92.68,93.2,94.13,87.44,85.37,28.27,38.27,50.9,29.43,50.12,23.35,37.59,43.19
there sushibar  restaurant,37.805471999999995,-122.41341090000002,76.5,79.14,79.84,79.46,78.36,79.36,77.26,77.8,77.46,79.51,78.39,78.1,77.99,79.95,79.46,77.48,79.64,79.64,80.06,80.0,80.0,80.0,79.51,78.28,77.06,79.01,79.41,79.73,79.11,79.16,79.08,78.86,82.06,80.68,85.71,85.76,83.48,84.17,83.12,81.45,60.49,60.72,71.75,74.43,73.3,73.19,74.13,61.53,69.55,73.15,71.94,78.61,75.08,78.25,73.24,72.23,57.54,60.56,62.1,62.98,61.05,67.06,58.54,55.33
