,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,,,,Fuel Your Inner Beast,,,0,,ZERO_RESULTS,
1,ROOFTOP,"13626 37th Ave # 4FL, Flushing, NY 11354, USA",ChIJD7v83A9gwokRtNOTMUcRXls,Jie Ying,40.761534,-73.8300548,2,11354,OK,"doctor,establishment,health,point_of_interest"
2,ROOFTOP,"654 9th Ave, New York, NY 10036, USA",ChIJqxFk3FNYwokRIqK9s4P3otQ,Cara Mia,40.7607175,-73.9907444,1,10036,OK,"establishment,food,point_of_interest,restaurant"
3,ROOFTOP,"104 N Pennsylvania Ave, Independence, KS 67301, USA",ChIJyZ7NJRUruIcRY04ba4ZfILE,Eat Drink & Laugh,37.2235131,-95.7064026,1,67301,OK,"bar,establishment,food,point_of_interest,restaurant"
4,,,,Fahhq,,,0,,ZERO_RESULTS,
5,ROOFTOP,"6100 Luther Ln, Dallas, TX 75225, USA",ChIJFU02WkSeToYRcranjpPleKs,Susiecakes,32.8634065,-96.80643359999999,1,75225,OK,"bakery,establishment,food,point_of_interest,store"
6,ROOFTOP,"698 Post St, San Francisco, CA 94109, USA",ChIJn3Nz-5GAhYAR4g8euEazEYg,Lapisara Eatery,37.7878433,-122.4131803,1,94109,OK,"establishment,food,point_of_interest,restaurant"
7,GEOMETRIC_CENTER,"Disney California Adventure Park, Paradise Gardens, Anaheim, CA 92802, United States",ChIJO8u7b9nX3IAReHJo2-NGqwE,5476-Bayside Brews Draft Cart/fresh Produce Pretzels & Juice,33.8058631,-117.9228314,1,92802,OK,"bar,establishment,point_of_interest"
8,,,,5477-Carvery Cart/the Dog House,,,0,,ZERO_RESULTS,
9,ROOFTOP,"54 Lincoln Ave, Santa Fe, NM 87501, USA",ChIJTT1XOUFQGIcRUiE1YfOjWHA,Plaza Cafe,35.6874732,-105.9391981,1,87501,OK,"cafe,establishment,food,point_of_interest,restaurant"
10,ROOFTOP,"2957 Co Rd 1174, Sulphur Springs, TX 75482, USA",ChIJ-QFB0JcuSoYRUtZfi3EGoBM,Sprig Inc,33.0648868,-95.6502017,1,75482,OK,"establishment,food,point_of_interest"
11,ROOFTOP,"2860 Lavista Rd, Decatur, GA 30033, USA",ChIJa2CPO-oH9YgR-TobcNUglUQ,Sprig,33.825651,-84.289474,1,30033,OK,"bar,establishment,food,point_of_interest,restaurant"
12,,,,Teapenter,,,0,,ZERO_RESULTS,
13,ROOFTOP,"1454 E Hallandale Beach Blvd, Hallandale Beach, FL 33009, USA",ChIJT23qv4Ks2YgRE23f8CSDfCw,Cafe El Mecato,25.984488,-80.13309,1,33009,OK,"bar,establishment,food,point_of_interest,restaurant"
14,ROOFTOP,"734 Irving St, San Francisco, CA 94122, USA",ChIJAxqLRVyHhYARdi_9fJuKEBI,Yancys Saloon,37.764243,-122.465875,1,94122,OK,"bar,establishment,point_of_interest"
15,,,,Crispy Gals,,,0,,ZERO_RESULTS,
16,,,,Maiya Wilson,,,0,,ZERO_RESULTS,
17,,,,"Salsa 4 All Seasons Inc,",,,0,,ZERO_RESULTS,
18,ROOFTOP,"1021 10th St, Modesto, CA 95354, USA",ChIJueOdJe1TkIARZ6htmK7-6b4,T Cup Cafe,37.640801,-121.0010647,1,95354,OK,"cafe,establishment,food,point_of_interest,restaurant"
19,,,,Refined Simplicity Llc,,,0,,ZERO_RESULTS,
20,ROOFTOP,"11233 E 13th St N, Wichita, KS 67206, USA",ChIJscctKE_8uocRI8lxsQYv_eY,Sumo,37.707992,-97.206492,1,67206,OK,"establishment,food,point_of_interest,restaurant"
21,ROOFTOP,"1801 Haight St, San Francisco, CA 94117, USA",ChIJCRye1FOHhYARZNi7x7aio5c,Cha Cha Cha Restaurant,37.769266,-122.4519974,1,94117,OK,"establishment,food,point_of_interest,restaurant"
22,ROOFTOP,"320 S Boston Ave, Tulsa, OK 74103, USA",ChIJVX0XFnnrtocRyRjP7XpgTxM,Pac Cafe,36.1532535,-95.9899746,1,74103,OK,"establishment,food,point_of_interest,restaurant"
23,ROOFTOP,"110 Robinson St, San Francisco, CA 94124, USA",ChIJIRKL9Ti7j4AR5HAR255_GFY,O'cacao,37.728584,-122.36569,2,94124,OK,"establishment,point_of_interest"
24,ROOFTOP,"704 W Sheridan Ave, Oklahoma City, OK 73102, USA",ChIJdzZBNCsXsocR_b4Ucu09AgI,Postmates,35.4663682,-97.5244859,1,73102,OK,"establishment,point_of_interest"
25,,,,Salsa 4 All Seasons,,,0,,ZERO_RESULTS,
26,ROOFTOP,"101 Montgomery St, San Francisco, CA 94104, USA",ChIJX2yz64mAhYARRK1SdUvrtw0,La Fromagerie,37.79053,-122.402597,1,94104,OK,"establishment,food,point_of_interest,restaurant,store"
27,ROOFTOP,"6927 S Canton Ave, Tulsa, OK 74136, USA",ChIJty4da2iStocRdGyV3xPyRHk,Lion Pub The,36.061818,-95.918396,1,74136,OK,"bar,establishment,food,point_of_interest,restaurant"
28,ROOFTOP,"1725 Haight St, San Francisco, CA 94117, USA",ChIJ4RMby1OHhYARsGxnl40kWbg,The Alembic,37.7693221,-122.4511197,1,94117,OK,"bar,establishment,food,point_of_interest,restaurant"
29,ROOFTOP,"5201 W Reno Ave e, Oklahoma City, OK 73127, USA",ChIJzxYfzSkQsocRml8zKbice0M,Simplot,35.4658986,-97.6105659,1,73127,OK,"establishment,point_of_interest"
30,ROOFTOP,"21515 S Western Ave, Torrance, CA 90501, USA",ChIJcwnRI6VK3YARk4qcV_gCjyM,Mifune Restaurant,33.8334388,-118.3099721,1,90501,OK,"establishment,food,point_of_interest,restaurant"
31,ROOFTOP,"1200 Vermont St, San Francisco, CA 94110, USA",ChIJsfPWDEt-j4ARPYu3pocOZhE,Uni's Deli,37.754361,-122.403707,1,94110,OK,"establishment,food,meal_takeaway,point_of_interest,restaurant"
32,ROOFTOP,"4130 Monroeville Blvd, Monroeville, PA 15146, USA",ChIJ8Rz-0TzqNIgRBaRVEQdtXB8,The Amore Company,40.433998,-79.765829,1,15146,OK,"establishment,point_of_interest"
33,ROOFTOP,"2 Beach St, San Francisco, CA 94133, USA",ChIJHSGzi_yAhYARqqXmfQgdZiA,Forbes Island Corp,37.8105852,-122.4124431,1,94133,OK,"establishment,point_of_interest"
34,,,,Original Mccarthys,,,0,,ZERO_RESULTS,
35,ROOFTOP,"1850 Gateway Dr #500, San Mateo, CA 94404, USA",ChIJ_Sa5YbKYj4AR9DPs1Nqk-t4,Guckenheimer @ Google - Rincon Coffee Bar,37.5567138,-122.280084,1,94404,OK,"establishment,point_of_interest"
36,ROOFTOP,"1190 Mission St, San Francisco, CA 94103, USA",ChIJ12HgSoOAhYAREab6pIUCa90,2191 Mission St Apts,37.777867,-122.4130596,1,94103,OK,"establishment,point_of_interest"
37,ROOFTOP,"7674 McCart Ave, Fort Worth, TX 76133, USA",ChIJUQFghTZsToYRWG1YfV4q9Yw,Tastebuds,32.631439,-97.37050599999999,1,76133,OK,"cafe,establishment,food,point_of_interest,restaurant"
38,ROOFTOP,"200 Main St, Lincoln Park, NJ 07035, USA",ChIJ2XvxBPwDw4kRh-NlmTebG4Y,Kenko: Sustainable Sushi Catering,40.923009,-74.3054224,1,07035,OK,"establishment,food,point_of_interest,restaurant"
39,ROOFTOP,"1036 W Main St, Cherryvale, KS 67335, USA",ChIJWXiesF4vuIcRlye0wk7KN8c,Simple,37.2691843,-95.5666603,1,67335,OK,"establishment,food,point_of_interest,restaurant"
40,,,,Sweet Givings,,,0,,ZERO_RESULTS,
41,ROOFTOP,"9832 N 7th St #1, Phoenix, AZ 85020, USA",ChIJM7GIKpxtK4cREmlcwnlRJcA,Scramble!,33.576281,-112.065419,1,85020,OK,"establishment,food,point_of_interest,restaurant"
42,ROOFTOP,"1599 Sanchez St, San Francisco, CA 94131, USA",ChIJ3_kUO2l-j4ARSvMC66FNsiY,Alice Chinese Bistro,37.7437078,-122.4287059,2,94131,OK,"establishment,food,point_of_interest,restaurant"
43,ROOFTOP,"10906 E 71st St, Tulsa, OK 74133, USA",ChIJtWcvoUyMtocRvNlqLNsyysw,T & T Cafe,36.0603507,-95.8545307,1,74133,OK,"electronics_store,establishment,point_of_interest,store"
44,ROOFTOP,"2301 7th St # A102, Los Angeles, CA 90023, USA",ChIJTXy-zR3GwoAR5HVowCPsvsw,Postmates Inc,34.0345376,-118.222524,1,90023,OK,"establishment,point_of_interest"
45,ROOFTOP,"316 S Rogers St, Clarksville, AR 72830, USA",ChIJAbKYu1RqzIcRi-T9zSKfp80,The Cake House,35.4671287,-93.4593285,1,72830,OK,"bakery,establishment,food,point_of_interest,store"
46,ROOFTOP,"113 W Walnut St, Ogden, IA 50212, USA",ChIJ0aAOMq3H7YcRQx9KR-3MMEo,Lucky Pig,42.0392899,-94.0290291,2,50212,OK,"bar,establishment,food,point_of_interest,restaurant"
47,ROOFTOP,"9 E 37th St, New York, NY 10016, USA",ChIJHweSsgBZwokRloB86aLgrzE,Fine And Rare,40.7501584,-73.98219449999999,1,10016,OK,"bar,establishment,food,point_of_interest,restaurant"
48,ROOFTOP,"2331 Chestnut St, San Francisco, CA 94123, USA",ChIJDeuYO9SAhYARSeppEW5sFAI,Chestnut St Coffee Roastery,37.799901,-122.4417471,1,94123,OK,"cafe,establishment,food,point_of_interest,store"
49,ROOFTOP,"4956 S 28th Ave, Minneapolis, MN 55417, USA",ChIJBWXDsfYo9ocRMTk01wg3VAY,Beach Coffee & Tea,44.9127863,-93.23249,1,55417,OK,"cafe,establishment,food,point_of_interest,store"
50,ROOFTOP,"1418 Lombard St, San Francisco, CA 94123, USA",ChIJXSGVnd2AhYARF_f28vlbVhI,Vikings Giant Submarines,37.8014237,-122.4250826,2,94123,OK,"establishment,food,meal_takeaway,point_of_interest,restaurant"
51,ROOFTOP,"961 W Ray Rd, Chandler, AZ 85225, USA",ChIJAcR0CGEHK4cRMmj1dBRjjV4,Tumi - Peruvian Bakery,33.3199663,-111.8582254,1,85225,OK,"establishment,food,point_of_interest,restaurant"
52,ROOFTOP,"6439 California St, San Francisco, CA 94121, USA",ChIJ4cnLowaHhYAR-Vj7nCfwL6A,Tal-Y-Tara,37.7836984,-122.4868026,1,94121,OK,"cafe,establishment,food,point_of_interest,restaurant,store"
