accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"135 4th St #4000, San Francisco, CA 94103, USA",Ei40MDAwLCAxMzUgNHRoIFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEwMywgVVNBIiAaHgoWChQKEglTEbKgh4CFgBFwOGfisZpY6hIENDAwMA,135 4th St Ste 4000,37.7843318,-122.4033663,1,94103,OK,subpremise
ROOFTOP,"425 Ellis St, New Britain, CT 06051, USA",ChIJoxnKqqWz54kR0sUwCIP5nP0,425 Elis St,41.6583435,-72.7657637,1,6051,OK,premise
ROOFTOP,"139 8th St, San Francisco, CA 94103, USA",ChIJIw6gLYOAhYARuBi_8fCwIAk,139 8th St,37.7771722,-122.412601,1,94103,OK,street_address
ROOFTOP,"3111 16th St, San Francisco, CA 94103, USA",ChIJtfptQyJ-j4ARFoWD1CsdFpE,3111 16th St,37.7647687,-122.4223512,1,94103,OK,street_address
ROOFTOP,"309 Clement St, San Francisco, CA 94118, USA",ChIJ7Tyh4TuHhYARdYpz0QD1nCk,309 Clement St,37.7828176,-122.462536,1,94118,OK,premise
ROOFTOP,"800 Van Ness Ave, San Francisco, CA 94109, USA",ChIJrVJzEJeAhYAR-n1omLJc5OA,800 Van Ness Ave Bldg,37.7830748,-122.4206163,1,94109,OK,street_address
ROOFTOP,"645 5th St, San Francisco, CA 94107, USA",ChIJw2IJsdV_j4AR1f14H4JNWHM,645 5th St,37.7768403,-122.397702,1,94107,OK,premise
ROOFTOP,"977 Howard St, Columbus, OH 43201, USA",ChIJ0WOqJjCJOIgRdmaDm-H_pyQ,977 Howard St,39.9845934,-82.9841021,2,43201,OK,premise
ROOFTOP,"680 Folsom St #120, San Francisco, CA 94107, USA",EjAxMjAsIDY4MCBGb2xzb20gU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTA3LCBVU0EiHxodChYKFAoSCZ-uWDN8gIWAEW2rgy446ZMPEgMxMjA,680 Folsom St Ste 120,37.7845584,-122.3985641,1,94107,OK,subpremise
ROOFTOP,"1200 16th St NW, Washington, DC 20036, USA",ChIJr3hle7-3t4kRmrCXb_1dBvg,1200 16th St,38.9059784,-77.0369264,2,20036,OK,premise
ROOFTOP,"250 Fell St, San Francisco, CA 94102, USA",ChIJ09wqzJiAhYARUUr3grEW5Dk,250 Fell St,37.7762372,-122.4220764,1,94102,OK,premise
