Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv
B150588,3/12/15,5/8/15,"$32,000.00 ",FALSE,FALSE,4,1300 Block of Shotwell Street,94110,9,Bernal Heights,"(37.747783872153, -122.414945488648)",83,9,2,2,2,7,7,2,"28,859"
B150590,3/16/15,3/18/15,"$6,000.00 ",FALSE,FALSE,2,600 Block of Broderick Street,94117,5,Hayes Valley,"(37.776170112288, -122.439818697118)",24,7,11,9,10,5,11,15,"29,492"
B150597,3/17/15,12/11/15,"$54,000.00 ",FALSE,FALSE,2,100 Block of Valley Street,94131,8,Noe Valley,"(37.744621476645, -122.425607962387)",84,9,5,22,22,7,5,2,63
B150601,3/18/15,7/7/15,"$30,000.00 ",FALSE,FALSE,1,3900 Block of Cabrillo Street,94121,1,Outer Richmond,"(37.773732167344, -122.50092850809)",8,8,4,29,26,6,2,11,55
B150606,3/23/15,5/11/15,"$21,000.00 ",FALSE,FALSE,7,200 Block of Munich Street,94112,11,Excelsior,"(37.721623443423, -122.426180850933)",90,9,1,7,5,7,6,9,"28,861"
B150607,3/23/15,3/23/15,"$50,000.00 ",FALSE,FALSE,2,1200 Block of 21st Avenue,94122,4,Sunset/Parkside,"(37.764412253173, -122.479263390059)",39,10,7,35,35,8,3,1,56
B150608,3/24/15,5/14/15,"$25,000.00 ",FALSE,TRUE,3,2900 Block of Pacheco Street,94116,4,Sunset/Parkside,"(37.7497693943, -122.49174457936)",39,10,7,35,35,8,3,1,"29,491"
B150692,3/31/15,7/6/15,"$310,000.00 ",FALSE,FALSE,3,1000 Block of South Van Ness Avenue,94110,9,Mission,"(37.756363299802, -122.416712100627)",53,3,2,20,19,4,7,2,"28,859"
B150693,3/31/15,7/6/15,"$20,000.00 ",FALSE,FALSE,2,200 Block of Chestnut Street,94133,3,North Beach,"(37.804410245586, -122.407535183782)",18,6,3,23,23,1,10,3,308
B150695,,3/31/15,"$25,000.00 ",FALSE,FALSE,1,400 Block of 27th Street,94131,8,Noe Valley,"(37.746751152283, -122.430307966306)",84,9,5,22,22,7,5,2,63
B150702,4/1/15,7/16/15,"$34,500.00 ",FALSE,TRUE,4,0 Block of Lippard Avenue,94131,8,Glen Park,"(37.734322866472, -122.435628142523)",96,9,5,10,7,7,5,2,63
B150708,4/2/15,8/21/15,"$134,500.00 ",FALSE,TRUE,4,2500 Block of Gough Street,94123,2,Marina,"(37.796727515029, -122.427054808103)",102,4,6,13,17,9,1,13,57
B150709,4/2/15,8/21/15,"$89,500.00 ",FALSE,TRUE,1,2500 Block of Gough Street,94123,2,Marina,"(37.796727515029, -122.427054808103)",102,4,6,13,17,9,1,13,57
B150710,4/2/15,8/18/15,"$94,500.00 ",FALSE,TRUE,2,2500 Block of Gough Street,94123,2,Marina,"(37.796727515029, -122.427054808103)",102,4,6,13,17,9,1,13,57
B150769,4/8/15,7/15/15,"$30,000.00 ",FALSE,FALSE,3,100 Block of Bernard Street,94109,3,Nob Hill,"(37.796158959418, -122.415907056002)",107,6,3,21,21,1,10,5,"28,858"
B150770,4/9/15,8/14/15,"$10,000.00 ",FALSE,FALSE,3,1100 Block of Dolores Street,94110,8,Mission,"(37.750641531555, -122.424889976637)",52,3,5,20,19,4,5,2,"28,859"
B150772,4/9/15,6/25/15,"$3,000.00 ",FALSE,FALSE,2,0 Block of Terra Vista Avenue,94115,2,Lone Mountain/USF,"(37.781555311769, -122.442558983109)",13,7,6,18,16,5,1,15,"29,490"
