"business_id","score","date","type"
19,"94","20171211","routine"
19,"96","20180607","routine"
19,"94","20160513","routine"
24,"96","20160311","routine"
24,"98","20161005","routine"
24,"98","20171101","routine"
31,"98","20151204","routine"
31,"96","20180615","routine"
45,"85","20170914","routine"
45,"88","20180529","routine"
45,"84","20160614","routine"
45,"88","20170307","routine"
45,"78","20160104","routine"
48,"94","20160630","routine"
48,"94","20180216","routine"
54,"87","20170215","routine"
54,"94","20180703","routine"
56,"88","20151222","routine"
56,"92","20170420","routine"
56,"98","20180327","routine"
56,"90","20160802","routine"
58,"73","20160407","routine"
58,"70","20170918","routine"
61,"94","20160708","routine"
61,"94","20171128","routine"
61,"98","20170124","routine"
61,"92","20150827","routine"
66,"96","20170703","routine"
66,"100","20150828","routine"
66,"98","20160322","routine"
66,"100","20160902","routine"
66,"98","20180420","routine"
67,"81","20170804","routine"
67,"88","20180220","routine"
67,"94","20161019","routine"
67,"87","20160401","routine"
73,"92","20160927","routine"
73,"88","20171129","routine"
76,"100","20160311","routine"
76,"98","20161005","routine"
76,"100","20171101","routine"
77,"91","20160311","routine"
77,"96","20161005","routine"
77,"94","20171101","routine"
80,"96","20171204","routine"
80,"98","20160412","routine"
81,"98","20171205","routine"
88,"92","20170111","routine"
88,"84","20180619","routine"
88,"82","20171016","routine"
88,"89","20150824","routine"
95,"83","20171016","routine"
95,"88","20151210","routine"
95,"86","20160718","routine"
95,"92","20170307","routine"
95,"92","20180509","routine"
98,"94","20171003","routine"
98,"96","20160316","routine"
99,"82","20171207","routine"
99,"76","20150811","routine"
101,"92","20180129","routine"
101,"90","20170627","routine"
101,"98","20160525","routine"
102,"86","20180302","routine"
102,"85","20161103","routine"
102,"92","20170728","routine"
108,"100","20180604","routine"
116,"76","20160527","routine"
116,"96","20170509","routine"
121,"90","20170418","routine"
121,"86","20151020","routine"
121,"90","20180514","routine"
125,"92","20160520","routine"
125,"90","20170719","routine"
134,"85","20180524","routine"
134,"93","20170214","routine"
134,"98","20150806","routine"
140,"85","20160414","routine"
140,"77","20171011","routine"
140,"86","20180105","routine"
141,"100","20170505","routine"
141,"100","20160627","routine"
141,"100","20180627","routine"
146,"84","20160407","routine"
146,"84","20161017","routine"
146,"81","20180315","routine"
151,"81","20180514","routine"
151,"92","20160726","routine"
155,"79","20170227","routine"
155,"100","20151229","routine"
164,"96","20151106","routine"
164,"87","20161110","routine"
164,"83","20170908","routine"
184,"98","20161003","routine"
184,"90","20180213","routine"
187,"96","20171128","routine"
187,"89","20160511","routine"
187,"92","20170210","routine"
190,"100","20171129","routine"
190,"100","20161206","routine"
192,"90","20160628","routine"
192,"94","20180403","routine"
192,"86","20170626","routine"
194,"84","20170919","routine"
198,"94","20171129","routine"
198,"94","20170130","routine"
198,"92","20151029","routine"
200,"88","20170104","routine"
200,"94","20151001","routine"
208,"92","20151007","routine"
208,"90","20170731","routine"
216,"94","20180313","routine"
216,"94","20180314","routine"
216,"94","20170629","routine"
216,"94","20170721","routine"
217,"90","20160912","routine"
217,"94","20160329","routine"
217,"92","20170330","routine"
217,"93","20170925","routine"
217,"92","20180316","routine"
217,"94","20150818","routine"
226,"88","20180319","routine"
226,"82","20160523","routine"
231,"90","20170601","routine"
231,"88","20160301","routine"
236,"94","20151214","routine"
236,"96","20161017","routine"
236,"93","20180615","routine"
239,"88","20171207","routine"
239,"84","20160525","routine"
240,"77","20180712","routine"
240,"82","20161004","routine"
240,"68","20150813","routine"
247,"83","20160503","routine"
247,"90","20180622","routine"
247,"86","20161114","routine"
251,"96","20160616","routine"
251,"98","20180306","routine"
253,"92","20171114","routine"
253,"94","20160622","routine"
253,"96","20161208","routine"
256,"100","20150908","routine"
256,"96","20161019","routine"
256,"90","20171205","routine"
268,"100","20171228","routine"
268,"94","20150903","routine"
268,"91","20160725","routine"
272,"78","20160517","routine"
272,"79","20180606","routine"
273,"78","20160920","routine"
273,"75","20171002","routine"
273,"83","20180322","routine"
275,"98","20180116","routine"
275,"96","20161031","routine"
275,"96","20151020","routine"
276,"100","20170512","routine"
276,"100","20180507","routine"
276,"100","20151103","routine"
276,"100","20171103","routine"
279,"94","20180606","routine"
279,"98","20160518","routine"
279,"90","20170104","routine"
279,"92","20171010","routine"
279,"94","20151020","routine"
281,"98","20180308","routine"
281,"96","20160606","routine"
283,"81","20170209","routine"
283,"90","20180417","routine"
283,"73","20151001","routine"
286,"72","20160607","routine"
286,"82","20161102","routine"
286,"83","20171107","routine"
290,"89","20160615","routine"
290,"98","20180320","routine"
298,"87","20160408","routine"
298,"88","20161013","routine"
298,"92","20171017","routine"
298,"87","20180524","routine"
298,"80","20150828","routine"
299,"94","20171116","routine"
299,"96","20160705","routine"
300,"68","20160413","routine"
300,"86","20171208","routine"
302,"96","20180130","routine"
302,"89","20160902","routine"
302,"94","20180709","routine"
302,"81","20170728","routine"
305,"88","20180104","routine"
305,"87","20160518","routine"
315,"92","20161110","routine"
315,"84","20180723","routine"
315,"94","20150929","routine"
315,"87","20170905","routine"
318,"94","20151113","routine"
318,"98","20180510","routine"
318,"96","20170602","routine"
318,"98","20171116","routine"
320,"77","20171004","routine"
320,"81","20180522","routine"
320,"68","20160920","routine"
323,"100","20160112","routine"
323,"94","20161108","routine"
326,"81","20180123","routine"
326,"82","20160818","routine"
328,"82","20180626","routine"
328,"81","20161122","routine"
328,"90","20160105","routine"
337,"90","20180129","routine"
337,"90","20160520","routine"
