"business_id","date","description"
19,"20180607","Inadequate food safety knowledge or lack of certified food safety manager"
19,"20171211","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 6/7/2018 ]"
19,"20171211","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 6/7/2018 ]"
19,"20160513","Food safety certificate or food handler card not available  [ date violation corrected: 12/11/2017 ]"
19,"20160513","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 12/11/2017 ]"
19,"20160513","Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/11/2017 ]"
24,"20171101","Improper food storage"
24,"20160311","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/11/2016 ]"
24,"20160311","Unclean or degraded floors walls or ceilings"
31,"20180615","Improper storage of equipment utensils or linens"
31,"20180615","Wiping cloths not clean or properly stored or inadequate sanitizer"
31,"20151204","Food safety certificate or food handler card not available  [ date violation corrected: 6/15/2018 ]"
45,"20180529","Moderate risk vermin infestation"
45,"20180529","Wiping cloths not clean or properly stored or inadequate sanitizer"
45,"20180529","Unclean nonfood contact surfaces"
45,"20180529","Inadequate ventilation or lighting"
45,"20180529","Unclean or degraded floors walls or ceilings"
45,"20170914","Moderate risk food holding temperature   [ date violation corrected: 5/7/2018 ]"
45,"20170914","High risk vermin infestation  [ date violation corrected: 5/7/2018 ]"
45,"20170914","Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/7/2018 ]"
45,"20170914","Unclean nonfood contact surfaces  [ date violation corrected: 5/7/2018 ]"
45,"20170307","Food safety certificate or food handler card not available  [ date violation corrected: 8/29/2017 ]"
45,"20170307","Unclean nonfood contact surfaces  [ date violation corrected: 8/29/2017 ]"
45,"20170307","Moderate risk vermin infestation  [ date violation corrected: 8/29/2017 ]"
45,"20170307","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 8/29/2017 ]"
45,"20170307","Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/29/2017 ]"
45,"20160614","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 2/28/2017 ]"
45,"20160614","Moderate risk vermin infestation  [ date violation corrected: 2/28/2017 ]"
45,"20160614","Unclean or degraded floors walls or ceilings  [ date violation corrected: 2/28/2017 ]"
45,"20160614","Foods not protected from contamination  [ date violation corrected: 2/28/2017 ]"
45,"20160614","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 2/28/2017 ]"
45,"20160104","Unclean nonfood contact surfaces  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Employee eating or smoking  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/30/2016 ]"
48,"20180216","Moderate risk food holding temperature "
48,"20180216","Unclean or degraded floors walls or ceilings"
54,"20180703","Moderate risk food holding temperature "
54,"20180703","Improper or defective plumbing"
54,"20170215","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 7/3/2018 ]"
54,"20170215","Moderate risk food holding temperature   [ date violation corrected: 7/3/2018 ]"
54,"20170215","High risk vermin infestation  [ date violation corrected: 7/3/2018 ]"
56,"20180327","Permit license or inspection report not posted"
56,"20170518","Insufficient hot water or running water  [ date violation corrected: 3/27/2018 ]"
56,"20170420","Permit license or inspection report not posted  [ date violation corrected: 5/18/2017 ]"
56,"20170420","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 5/18/2017 ]"
56,"20170420","Insufficient hot water or running water  [ date violation corrected: 5/18/2017 ]"
56,"20160802","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 4/20/2017 ]"
56,"20160802","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 8/2/2016 ]"
56,"20160802","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 4/20/2017 ]"
56,"20160802","Unclean or degraded floors walls or ceilings  [ date violation corrected: 4/20/2017 ]"
56,"20151222","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 12/30/2015 ]"
56,"20151222","Moderate risk food holding temperature   [ date violation corrected: 12/30/2015 ]"
56,"20151222","Foods not protected from contamination  [ date violation corrected: 12/30/2015 ]"
58,"20170918","High risk food holding temperature   [ date violation corrected: 9/20/2017 ]"
58,"20170918","Inadequate food safety knowledge or lack of certified food safety manager"
58,"20170918","Insufficient hot water or running water  [ date violation corrected: 9/20/2017 ]"
58,"20170918","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 9/18/2017 ]"
58,"20170918","Improper food storage  [ date violation corrected: 11/22/2017 ]"
58,"20170918","Improper cooling methods  [ date violation corrected: 9/20/2017 ]"
58,"20170918","Improper or defective plumbing  [ date violation corrected: 9/20/2017 ]"
58,"20160407","Low risk vermin infestation  [ date violation corrected: 9/18/2017 ]"
58,"20160407","Unclean or unsanitary food contact surfaces  [ date violation corrected: 4/7/2016 ]"
58,"20160407","High risk food holding temperature   [ date violation corrected: 4/7/2016 ]"
58,"20160407","Inadequate ventilation or lighting  [ date violation corrected: 9/18/2017 ]"
58,"20160407","No thermometers or uncalibrated thermometers   [ date violation corrected: 9/18/2017 ]"
58,"20160407","Improper cooling methods  [ date violation corrected: 4/7/2016 ]"
61,"20171128","Unapproved or unmaintained equipment or utensils"
61,"20171128","Foods not protected from contamination  [ date violation corrected: 11/28/2017 ]"
61,"20170124","Inadequate dressing rooms or improper storage of personal items  [ date violation corrected: 11/28/2017 ]"
61,"20160708","Improper food storage  [ date violation corrected: 1/24/2017 ]"
61,"20160708","Unclean nonfood contact surfaces  [ date violation corrected: 1/24/2017 ]"
61,"20160708","Improper or defective plumbing  [ date violation corrected: 1/24/2017 ]"
61,"20150827","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 7/8/2016 ]"
